ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SFIN.N0000,2016-01-03,23.8,24.7,23.8,24.0,3337519.6,137363,64
SFIN.N0000,2016-01-04,24.4,24.4,23.3,24.2,1039778.4,42960,40
SFIN.N0000,2016-01-05,24.0,24.0,23.9,24.0,116395.0,4850,8
SFIN.N0000,2016-01-06,23.9,23.9,23.5,23.5,164485.0,6960,32
SFIN.N0000,2016-01-07,23.5,23.7,23.2,23.3,173470.0,7400,16
SFIN.N0000,2016-01-10,22.8,23.3,22.3,22.4,1154640.0,50800,20
SFIN.N0000,2016-01-11,22.4,22.4,22.0,22.1,1777847.2,80420,39
SFIN.N0000,2016-01-12,22.3,23.0,22.0,22.1,470532.0,21100,9
SFIN.N0000,2016-01-13,21.9,22.0,21.1,22.0,198115.5,9249,13
SFIN.N0000,2016-01-17,22.2,22.2,19.8,20.0,852985.0,42215,32
SFIN.N0000,2016-01-18,20.0,20.5,18.2,20.3,1459220.4,75192,69
SFIN.N0000,2016-01-19,20.6,20.9,19.5,20.0,627872.6,31476,28
SFIN.N0000,2016-01-20,20.7,21.2,20.2,21.0,191045.4,9206,14
SFIN.N0000,2016-01-21,21.1,22.0,21.0,21.1,1716181.8,78911,54
SFIN.N0000,2016-01-24,21.0,21.4,20.9,21.1,268229.0,12710,8
SFIN.N0000,2016-01-25,20.9,21.2,20.8,20.8,239270.8,11459,17
SFIN.N0000,2016-01-26,20.7,21.0,20.7,21.0,140697.1,6710,13
SFIN.N0000,2016-01-27,21.5,21.5,20.8,21.1,2798462.5,133250,35
SFIN.N0000,2016-01-28,21.4,22.3,21.4,21.6,632883.0,28875,34
SFIN.N0000,2016-01-31,22.3,22.3,21.3,21.5,305869.8,14226,9
SFIN.N0000,2016-02-01,22.0,22.0,21.3,21.5,56892.5,2643,4
SFIN.N0000,2016-02-02,21.3,21.5,21.0,21.0,510245.5,24005,16
SFIN.N0000,2016-02-04,21.1,21.9,21.1,21.9,128234.4,5976,9
SFIN.N0000,2016-02-07,21.9,21.9,21.5,21.5,671341.5,31225,15
SFIN.N0000,2016-02-08,21.9,22.5,21.9,22.0,673595.4,30364,33
SFIN.N0000,2016-02-09,21.6,21.9,21.5,21.7,99420.0,4580,8
SFIN.N0000,2016-02-10,21.5,21.5,21.5,21.5,19006.0,884,2
SFIN.N0000,2016-02-14,21.5,21.5,20.6,20.7,669199.4,32031,17
SFIN.N0000,2016-02-15,20.6,21.0,20.0,20.3,877580.5,42992,27
SFIN.N0000,2016-02-16,20.1,20.1,19.5,19.5,112205.0,5690,11
SFIN.N0000,2016-02-17,20.0,20.5,20.0,20.0,289760.0,14438,10
SFIN.N0000,2016-02-18,20.0,20.4,20.0,20.0,1712790.0,85632,43
SFIN.N0000,2016-02-22,19.9,20.0,19.3,19.6,106056.0,5384,13
SFIN.N0000,2016-02-23,19.5,19.9,19.1,19.9,843520.5,43685,17
SFIN.N0000,2016-02-24,20.0,20.0,19.3,19.4,225839.6,11421,14
SFIN.N0000,2016-02-25,19.4,19.4,19.3,19.3,126479.6,6522,6
SFIN.N0000,2016-02-28,19.4,19.4,19.1,19.1,376544.2,19522,30
SFIN.N0000,2016-02-29,19.0,19.0,18.6,18.8,273457.7,14556,26
SFIN.N0000,2016-03-01,19.0,19.0,18.8,18.9,3369659.5,179226,20
SFIN.N0000,2016-03-02,18.7,19.3,18.6,18.6,1136341.8,60763,25
SFIN.N0000,2016-03-03,19.2,19.2,18.6,18.6,182636.5,9819,10
SFIN.N0000,2016-03-07,18.5,18.5,17.5,17.8,148262.0,8355,18
SFIN.N0000,2016-03-08,17.7,17.8,16.5,17.5,1126031.1,65084,56
SFIN.N0000,2016-03-09,16.9,20.0,16.9,18.0,80995.4,4533,20
SFIN.N0000,2016-03-10,18.5,19.0,18.3,18.5,1786207.0,96561,73
SFIN.N0000,2016-03-13,18.3,18.5,18.0,18.0,2402054.0,130282,27
SFIN.N0000,2016-03-14,19.3,19.3,17.8,18.0,19873.0,1110,7
SFIN.N0000,2016-03-15,17.9,18.0,17.8,17.9,1102127.5,61550,21
SFIN.N0000,2016-03-16,18.6,18.7,18.5,18.6,579096.0,31226,25
SFIN.N0000,2016-03-17,18.5,18.5,18.2,18.2,23022.0,1260,4
SFIN.N0000,2016-03-20,18.3,18.6,18.3,18.4,590658.0,32100,15
SFIN.N0000,2016-03-22,18.7,18.7,18.1,18.3,32349.0,1770,7
SFIN.N0000,2016-03-23,18.2,18.3,18.0,18.3,189373.0,10510,6
SFIN.N0000,2016-03-27,18.8,18.8,18.2,18.2,22210.0,1210,6
SFIN.N0000,2016-03-28,18.2,18.2,18.0,18.0,320222.0,17784,15
SFIN.N0000,2016-03-29,17.8,18.4,17.8,18.1,802831.4,44444,12
SFIN.N0000,2016-03-30,18.6,18.6,18.1,18.1,1088765.0,60150,11
SFIN.N0000,2016-03-31,18.5,18.6,18.2,18.5,493281.5,26693,13
SFIN.N0000,2016-04-03,18.6,18.8,18.4,18.5,446764.9,24065,24
SFIN.N0000,2016-04-04,18.8,19.8,18.5,19.5,2368154.1,124609,63
SFIN.N0000,2016-04-05,19.8,20.0,19.0,19.2,258739.5,13355,17
SFIN.N0000,2016-04-06,19.7,20.2,19.2,20.0,1571909.1,79141,40
SFIN.N0000,2016-04-07,20.0,20.5,19.7,19.8,1168695.0,58370,34
SFIN.N0000,2016-04-10,19.9,20.0,19.5,19.9,178269.0,8960,15
SFIN.N0000,2016-04-11,20.0,20.3,19.3,20.3,1522893.1,75829,32
SFIN.N0000,2016-04-14,20.5,22.2,20.5,21.6,3857957.2,181343,83
SFIN.N0000,2016-04-17,21.2,21.9,20.4,21.6,1111097.0,51735,26
SFIN.N0000,2016-04-18,21.9,21.9,21.0,21.0,499618.2,23685,19
SFIN.N0000,2016-04-19,21.5,21.5,21.0,21.2,137028.9,6410,10
SFIN.N0000,2016-04-21,21.3,21.3,21.0,21.0,283770.0,13400,23
SFIN.N0000,2016-04-24,21.2,21.2,20.0,20.4,606960.0,30050,33
SFIN.N0000,2016-04-25,20.2,20.4,20.2,20.4,93605.0,4600,8
SFIN.N0000,2016-04-26,20.1,21.0,20.1,20.8,610922.0,30240,19
SFIN.N0000,2016-04-27,20.4,20.8,20.3,20.8,568668.0,27360,7
SFIN.N0000,2016-04-28,20.3,21.0,20.1,20.8,1475146.2,70521,25
SFIN.N0000,2016-05-02,20.9,21.3,20.9,21.0,3329201.2,158462,44
SFIN.N0000,2016-05-03,21.3,21.3,20.9,21.0,1230226.0,58520,39
SFIN.N0000,2016-05-04,21.0,21.0,20.7,20.7,336000.0,16100,17
SFIN.N0000,2016-05-05,20.5,21.6,20.5,21.1,7861885.8,375284,127
SFIN.N0000,2016-05-08,21.5,21.7,21.3,21.5,1292095.9,59989,61
SFIN.N0000,2016-05-09,21.5,22.3,21.5,22.0,4426895.1,202264,175
SFIN.N0000,2016-05-10,22.3,22.5,22.1,22.3,3081796.6,138101,108
SFIN.N0000,2016-05-11,22.5,22.9,22.0,22.3,2572199.2,115368,75
SFIN.N0000,2016-05-12,22.5,23.5,22.5,23.0,7569863.6,330913,221
SFIN.N0000,2016-05-15,23.5,23.6,23.0,23.4,6348131.0,271583,93
SFIN.N0000,2016-05-16,22.8,23.5,22.8,23.1,435243.6,19044,43
SFIN.N0000,2016-05-17,23.3,23.3,23.0,23.0,2001579.4,86885,28
SFIN.N0000,2016-05-18,23.0,23.2,22.8,22.8,1179854.0,51556,24
SFIN.N0000,2016-05-19,22.7,22.7,22.5,22.6,90471.2,4012,3
SFIN.N0000,2016-05-23,22.3,22.3,22.0,22.1,684892.5,30892,22
SFIN.N0000,2016-05-24,22.9,22.9,22.0,22.3,151241.6,6759,11
SFIN.N0000,2016-05-25,22.5,22.6,22.2,22.6,955574.4,42342,18
SFIN.N0000,2016-05-26,22.2,22.9,22.2,22.5,754963.7,33469,28
SFIN.N0000,2016-05-29,22.9,22.9,22.1,22.2,524895.0,23502,11
SFIN.N0000,2016-05-30,21.6,23.0,21.6,22.9,1679682.8,73331,43
SFIN.N0000,2016-05-31,22.9,22.9,22.3,22.5,101335.1,4509,7
SFIN.N0000,2016-06-01,22.5,22.9,22.5,22.6,417029.0,18530,10
SFIN.N0000,2016-06-02,22.5,23.0,22.5,22.9,185880.0,8180,12
SFIN.N0000,2016-06-05,23.0,23.5,23.0,23.0,7725088.7,333728,157
SFIN.N0000,2016-06-06,23.0,23.2,23.0,23.1,570539.7,24735,59
SFIN.N0000,2016-06-07,23.2,23.5,23.2,23.3,2619628.7,111985,49
SFIN.N0000,2016-06-08,23.4,23.4,23.2,23.3,225160.0,9700,12
SFIN.N0000,2016-06-09,23.0,23.3,22.9,23.0,4745336.4,206381,55
SFIN.N0000,2016-06-12,23.0,23.2,22.9,23.0,4396045.3,191299,91
SFIN.N0000,2016-06-13,21.1,21.7,21.1,21.4,2144070.5,100298,54
SFIN.N0000,2016-06-14,21.7,21.7,21.0,21.0,155882.2,7365,25
SFIN.N0000,2016-06-15,20.1,20.8,20.1,20.1,191886.3,9508,36
SFIN.N0000,2016-06-16,20.0,21.0,20.0,20.9,251971.9,12109,49
SFIN.N0000,2016-06-19,20.9,20.9,20.5,20.5,59515.6,2903,14
SFIN.N0000,2016-06-20,20.4,20.9,20.0,20.0,3929387.8,194057,56
SFIN.N0000,2016-06-21,20.0,20.0,20.0,20.0,96800.0,4840,3
SFIN.N0000,2016-06-22,20.2,20.2,20.0,20.0,182447.8,9040,18
SFIN.N0000,2016-06-23,20.0,20.2,19.9,19.9,63065.2,3155,18
SFIN.N0000,2016-06-26,19.7,19.7,19.2,19.5,4174736.1,215663,35
SFIN.N0000,2016-06-27,19.5,20.3,19.5,20.2,125260.2,6251,17
SFIN.N0000,2016-06-28,20.0,20.0,19.4,19.4,44599.8,2277,22
SFIN.N0000,2016-06-29,19.4,20.0,19.4,19.5,842357.9,43080,41
SFIN.N0000,2016-06-30,19.5,20.0,19.5,19.6,316699.2,16058,47
