ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SHOT.X0000,2016-01-04,23.8,23.8,23.8,22.5,71.4,3,1
SHOT.X0000,2016-01-05,22.6,22.6,21.6,22.5,1100.0,50,2
SHOT.X0000,2016-01-12,23.8,23.8,23.8,22.5,23.8,1,1
SHOT.X0000,2016-01-19,18.7,18.7,18.5,18.5,55503.4,3000,5
SHOT.X0000,2016-01-20,20.0,21.0,20.0,21.0,91828.0,4468,5
SHOT.X0000,2016-01-21,21.2,21.2,21.2,21.0,106.0,5,1
SHOT.X0000,2016-01-25,21.0,21.0,21.0,21.0,147.0,7,1
SHOT.X0000,2016-01-26,21.0,21.0,21.0,21.0,2100.0,100,1
SHOT.X0000,2016-01-27,22.4,22.4,22.4,21.0,89.6,4,2
SHOT.X0000,2016-01-28,20.2,20.2,19.5,19.6,638266.0,32578,23
SHOT.X0000,2016-01-31,20.0,20.9,20.0,20.1,150600.0,7489,11
SHOT.X0000,2016-02-01,20.9,22.4,20.9,21.9,368058.0,16800,13
SHOT.X0000,2016-02-04,21.0,21.0,21.0,21.0,3150.0,150,2
SHOT.X0000,2016-02-07,20.0,20.0,20.0,20.0,6200.0,310,2
SHOT.X0000,2016-02-09,19.6,19.6,19.1,19.3,22014.0,1140,5
SHOT.X0000,2016-02-11,21.3,21.3,21.3,19.3,85.2,4,4
SHOT.X0000,2016-02-14,21.3,21.3,20.3,20.3,2282.6,112,4
SHOT.X0000,2016-02-15,20.5,20.5,20.0,20.0,163500.0,8000,3
SHOT.X0000,2016-02-16,20.0,20.0,20.0,20.0,30000.0,1500,2
SHOT.X0000,2016-02-17,20.0,20.0,20.0,20.0,141780.0,7089,3
SHOT.X0000,2016-02-22,19.7,19.7,19.7,19.7,1970.0,100,3
SHOT.X0000,2016-03-08,19.8,20.0,19.8,20.0,469962.0,23540,8
SHOT.X0000,2016-03-10,20.0,20.0,20.0,20.0,1000.0,50,1
SHOT.X0000,2016-03-13,20.0,20.0,20.0,20.0,19000.0,950,1
SHOT.X0000,2016-03-15,17.5,17.5,17.5,17.5,1750.0,100,1
SHOT.X0000,2016-03-23,21.8,21.8,21.8,17.5,327.0,15,1
SHOT.X0000,2016-03-31,17.8,17.8,17.8,17.8,20683.6,1162,1
SHOT.X0000,2016-04-06,21.3,21.9,21.3,21.6,6633.3,307,7
SHOT.X0000,2016-04-07,22.0,22.0,22.0,22.0,13200.0,600,1
SHOT.X0000,2016-04-10,20.0,20.0,20.0,22.0,140.0,7,1
SHOT.X0000,2016-04-19,22.0,22.0,22.0,22.0,220.0,10,1
SHOT.X0000,2016-04-24,22.4,22.4,22.4,22.0,156.8,7,1
SHOT.X0000,2016-04-26,21.0,21.0,21.0,21.0,2100.0,100,1
SHOT.X0000,2016-04-28,22.2,24.5,22.2,24.3,150628.4,6186,11
SHOT.X0000,2016-05-02,21.5,21.5,21.4,21.4,27850.0,1300,2
SHOT.X0000,2016-05-03,21.5,21.5,21.5,21.5,22037.5,1025,2
SHOT.X0000,2016-05-05,21.7,21.7,21.7,21.7,43400.0,2000,2
SHOT.X0000,2016-05-08,23.9,24.8,23.9,24.0,1546852.5,64489,39
SHOT.X0000,2016-05-10,22.1,22.1,22.1,22.1,11050.0,500,2
SHOT.X0000,2016-05-16,22.2,24.5,22.2,23.0,949511.0,41205,8
SHOT.X0000,2016-05-18,23.0,24.8,23.0,24.0,2854439.8,116516,43
SHOT.X0000,2016-05-19,24.0,24.0,23.5,24.0,1871.5,79,3
SHOT.X0000,2016-05-23,24.0,24.0,24.0,24.0,83280.0,3470,5
