ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SIGV.N0000,2016-01-04,79.8,79.8,79.8,69.0,159.6,2,1
SIGV.N0000,2016-01-11,71.0,71.0,71.0,69.0,71.0,1,1
SIGV.N0000,2016-01-21,63.0,69.0,63.0,69.0,6618.0,96,2
SIGV.N0000,2016-01-31,69.3,69.3,69.3,69.3,69300.0,1000,1
SIGV.N0000,2016-02-09,64.3,64.3,64.3,64.3,64300.0,1000,1
SIGV.N0000,2016-02-14,50.1,65.0,50.1,64.3,1270.2,20,2
SIGV.N0000,2016-02-18,64.0,64.0,64.0,64.0,32000.0,500,1
SIGV.N0000,2016-02-22,64.0,64.0,64.0,64.0,6400.0,100,1
SIGV.N0000,2016-02-24,62.0,62.0,62.0,64.0,3038.0,49,2
SIGV.N0000,2016-03-02,60.0,64.0,60.0,62.9,6600.0,105,2
SIGV.N0000,2016-03-07,61.0,61.0,61.0,61.0,15067.0,247,3
SIGV.N0000,2016-03-08,61.0,61.0,61.0,61.0,37637.0,617,3
SIGV.N0000,2016-03-17,75.5,75.5,75.5,61.0,151.0,2,1
SIGV.N0000,2016-03-29,59.0,59.0,58.9,58.9,88370.0,1500,6
SIGV.N0000,2016-04-10,66.8,66.8,66.8,58.9,668.0,10,1
SIGV.N0000,2016-04-28,58.2,58.2,58.2,58.9,2910.0,50,3
SIGV.N0000,2016-05-03,57.0,57.0,57.0,58.9,57.0,1,1
SIGV.N0000,2016-05-05,60.0,60.0,60.0,58.9,2940.0,49,2
SIGV.N0000,2016-05-10,59.3,59.3,59.3,59.3,71812.3,1211,3
SIGV.N0000,2016-05-15,65.0,65.0,65.0,59.3,3250.0,50,1
SIGV.N0000,2016-05-16,62.0,62.0,62.0,59.3,620.0,10,1
SIGV.N0000,2016-05-17,62.0,62.0,62.0,62.0,24800.0,400,1
SIGV.N0000,2016-05-18,61.1,61.1,61.1,62.0,61.1,1,1
SIGV.N0000,2016-05-23,64.8,64.8,64.8,62.0,6156.0,95,1
SIGV.N0000,2016-05-29,60.3,64.4,60.3,64.3,1479960.3,23001,3
SIGV.N0000,2016-05-30,64.2,64.2,64.2,64.2,128400.0,2000,1
SIGV.N0000,2016-05-31,64.2,74.0,64.2,66.0,1930330.9,29298,20
SIGV.N0000,2016-06-01,70.0,73.5,70.0,70.0,212940.0,3040,9
SIGV.N0000,2016-06-05,73.9,73.9,73.0,73.3,19637.2,268,10
SIGV.N0000,2016-06-06,66.3,66.3,66.3,73.3,3315.0,50,1
SIGV.N0000,2016-06-07,66.4,73.3,66.4,73.3,51781.7,768,11
SIGV.N0000,2016-06-08,73.0,73.0,73.0,73.0,146000.0,2000,4
SIGV.N0000,2016-06-09,66.9,66.9,66.9,66.9,6690.0,100,2
SIGV.N0000,2016-06-13,67.0,68.0,67.0,67.9,83336.0,1227,5
SIGV.N0000,2016-06-14,69.8,70.0,69.8,70.0,107005.0,1529,3
SIGV.N0000,2016-06-15,72.8,73.0,72.1,73.0,164485.0,2254,8
SIGV.N0000,2016-06-19,70.0,70.0,70.0,70.0,7000.0,100,1
SIGV.N0000,2016-06-20,68.1,68.1,68.1,70.0,1566.3,23,1
SIGV.N0000,2016-06-22,68.0,68.0,68.0,70.0,68.0,1,1
SIGV.N0000,2016-06-23,70.0,70.0,68.5,69.8,2516039.2,36072,8
SIGV.N0000,2016-06-26,68.5,68.5,68.5,68.5,68500.0,1000,1
SIGV.N0000,2016-06-28,70.0,70.0,69.9,69.9,139990.0,2002,7
SIGV.N0000,2016-06-29,67.0,67.0,66.0,69.9,265.0,4,3
SIGV.N0000,2016-06-30,66.1,66.1,66.1,69.9,66.1,1,1
SIGV.N0000,2016-07-06,70.0,70.0,70.0,70.0,14000.0,200,2
SIGV.N0000,2016-07-07,70.0,73.5,70.0,70.5,65111.6,924,3
SIGV.N0000,2016-07-10,67.0,67.0,66.2,70.5,200.2,3,2
SIGV.N0000,2016-07-11,73.0,73.0,73.0,70.5,730.0,10,1
SIGV.N0000,2016-07-12,73.5,74.9,73.5,74.0,83290.9,1125,4
SIGV.N0000,2016-07-14,70.1,70.1,69.0,69.5,14730.1,212,5
SIGV.N0000,2016-07-19,67.1,67.5,67.1,67.5,67567.1,1001,2
SIGV.N0000,2016-07-20,67.3,67.3,67.2,67.2,13440.3,200,3
SIGV.N0000,2016-07-21,71.0,71.0,71.0,71.0,7100.0,100,1
SIGV.N0000,2016-08-01,71.0,73.5,70.5,70.7,206544.5,2907,13
