ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SIL.N0000,2016-01-05,114.0,114.0,114.0,109.0,228.0,2,1
SIL.N0000,2016-01-06,109.0,112.0,109.0,112.0,65699.8,600,5
SIL.N0000,2016-01-12,101.3,111.9,101.3,111.8,15156.3,139,16
SIL.N0000,2016-01-19,109.8,109.8,109.8,111.8,219.6,2,1
SIL.N0000,2016-01-24,102.6,110.9,102.5,110.9,455791.8,4118,16
SIL.N0000,2016-01-27,102.8,110.0,102.8,110.0,31354.2,298,5
SIL.N0000,2016-02-07,100.1,100.1,100.1,110.0,5305.3,53,2
SIL.N0000,2016-02-14,100.1,109.0,98.8,107.2,256428.1,2551,20
SIL.N0000,2016-02-17,98.9,107.9,98.8,107.8,15285.8,145,6
SIL.N0000,2016-02-22,105.9,106.0,105.9,106.0,105996.3,1000,3
SIL.N0000,2016-02-23,105.8,105.8,105.8,106.0,317.4,3,3
SIL.N0000,2016-02-24,105.8,105.8,105.8,106.0,105.8,1,1
SIL.N0000,2016-02-29,99.1,103.4,99.1,106.0,5058.4,51,2
SIL.N0000,2016-03-01,103.4,103.4,103.4,103.4,20886.8,202,2
SIL.N0000,2016-03-07,101.5,101.9,101.5,101.9,31483.5,309,3
SIL.N0000,2016-03-08,95.5,101.6,95.5,101.6,35199.9,353,4
SIL.N0000,2016-03-09,103.3,103.4,98.0,98.6,21680.5,215,9
SIL.N0000,2016-03-10,104.9,105.0,104.9,105.0,43043.0,410,10
SIL.N0000,2016-03-23,103.9,103.9,103.8,105.0,207.7,2,2
SIL.N0000,2016-03-31,100.0,100.0,100.0,100.0,40000.0,400,1
SIL.N0000,2016-04-03,97.3,100.0,97.3,100.0,572730.0,5730,32
SIL.N0000,2016-04-04,112.0,112.0,112.0,112.0,11200.0,100,1
SIL.N0000,2016-04-11,103.0,103.0,103.0,112.0,309.0,3,1
SIL.N0000,2016-04-18,104.0,114.5,100.4,109.0,197126.8,1808,16
SIL.N0000,2016-04-19,112.3,112.3,112.2,112.2,12343.0,110,2
SIL.N0000,2016-04-24,111.0,112.4,111.0,112.2,22435.8,200,4
SIL.N0000,2016-04-28,107.7,107.7,107.7,112.2,1077.0,10,1
SIL.N0000,2016-05-03,109.9,109.9,107.7,112.2,5688.7,52,3
SIL.N0000,2016-05-11,108.0,108.0,108.0,108.0,19116.0,177,1
SIL.N0000,2016-05-15,104.0,108.0,104.0,108.0,49056.0,462,5
SIL.N0000,2016-05-16,100.5,108.3,99.0,101.7,75055.0,744,12
SIL.N0000,2016-05-17,100.1,106.7,100.0,100.5,555465.9,5537,28
SIL.N0000,2016-05-18,100.0,100.0,100.0,100.0,22500.0,225,5
SIL.N0000,2016-05-23,100.0,100.0,100.0,100.0,54000.0,540,2
SIL.N0000,2016-05-24,99.4,99.4,99.3,99.3,25619.8,258,8
SIL.N0000,2016-05-25,100.0,100.0,100.0,99.3,3000.0,30,3
SIL.N0000,2016-05-26,100.0,100.0,100.0,99.3,6000.0,60,2
SIL.N0000,2016-05-31,100.0,100.0,100.0,100.0,50000.0,500,2
SIL.N0000,2016-06-01,104.5,104.5,104.5,104.5,10450.0,100,1
SIL.N0000,2016-06-07,100.0,103.6,100.0,100.6,60360.0,600,2
SIL.N0000,2016-06-08,98.0,98.0,98.0,100.6,3920.0,40,2
SIL.N0000,2016-06-09,101.8,101.8,101.8,101.8,10180.0,100,1
SIL.N0000,2016-06-13,95.4,96.0,95.0,95.7,7778980.5,81872,20
SIL.N0000,2016-06-14,95.5,95.5,95.0,95.0,624700.5,6574,9
SIL.N0000,2016-06-15,98.0,98.0,98.0,95.0,196.0,2,2
SIL.N0000,2016-06-19,98.0,98.0,98.0,95.0,98.0,1,1
SIL.N0000,2016-06-21,95.0,95.0,95.0,95.0,78090.0,822,2
SIL.N0000,2016-06-22,95.0,95.0,95.0,95.0,2850.0,30,1
SIL.N0000,2016-06-23,96.5,96.5,94.2,94.8,35689.5,376,10
SIL.N0000,2016-06-26,94.1,94.1,94.1,94.1,18820.0,200,2
