ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SING.N0000,2016-01-03,77.7,77.8,77.7,77.8,510223.6,6562,7
SING.N0000,2016-01-04,77.8,84.0,77.8,77.8,181280.2,2330,5
SING.N0000,2016-01-05,77.8,77.8,77.8,77.8,3890.0,50,1
SING.N0000,2016-01-07,77.9,77.9,77.8,77.8,26452.2,340,3
SING.N0000,2016-01-10,80.0,80.0,77.8,77.8,7704.4,99,2
SING.N0000,2016-01-11,78.0,78.0,78.0,77.8,780.0,10,2
SING.N0000,2016-01-12,78.0,78.0,78.0,77.8,1248.0,16,1
SING.N0000,2016-01-13,78.0,80.0,78.0,78.0,143852.0,1844,7
SING.N0000,2016-01-17,78.0,78.1,78.0,78.0,35569.0,456,2
SING.N0000,2016-01-18,78.0,78.0,78.0,78.0,40404.0,518,2
SING.N0000,2016-01-19,78.0,78.0,78.0,78.0,5772.0,74,3
SING.N0000,2016-01-20,78.0,78.0,78.0,78.0,1560.0,20,1
SING.N0000,2016-01-21,84.9,84.9,84.9,78.0,169.8,2,1
SING.N0000,2016-01-25,88.9,88.9,88.9,78.0,444.5,5,1
SING.N0000,2016-01-27,78.1,78.1,78.1,78.0,312.4,4,1
SING.N0000,2016-01-28,88.0,88.0,80.0,78.0,344.0,4,3
SING.N0000,2016-01-31,78.5,78.5,78.0,78.0,2340315.7,30004,7
SING.N0000,2016-02-01,89.9,89.9,89.9,78.0,179.8,2,1
SING.N0000,2016-02-02,89.4,89.4,75.0,75.0,37500089.4,500001,2
SING.N0000,2016-02-04,89.0,89.0,89.0,75.0,178.0,2,1
SING.N0000,2016-02-07,75.0,75.0,75.0,75.0,75.0,1,1
SING.N0000,2016-02-08,75.0,75.0,75.0,75.0,525.0,7,2
SING.N0000,2016-02-10,75.1,75.1,75.0,75.0,2250.5,30,2
SING.N0000,2016-02-11,89.0,89.0,88.0,88.0,123417.0,1388,9
SING.N0000,2016-02-15,84.0,84.0,84.0,84.0,145152.0,1728,6
SING.N0000,2016-02-16,80.0,80.0,80.0,80.0,180800.0,2260,1
SING.N0000,2016-02-18,80.0,93.0,80.0,90.2,345292.1,3829,11
SING.N0000,2016-02-22,90.0,90.0,90.0,90.0,23940.0,266,2
SING.N0000,2016-02-23,90.0,90.0,90.0,90.0,188640.0,2096,6
SING.N0000,2016-02-24,91.0,91.0,89.0,89.0,562348.1,6203,10
SING.N0000,2016-02-25,92.8,93.0,92.8,92.8,374560.8,4036,3
SING.N0000,2016-02-28,76.2,95.0,76.2,92.8,171.2,2,2
SING.N0000,2016-03-02,77.0,77.0,77.0,77.0,154000.0,2000,2
SING.N0000,2016-03-03,77.1,91.0,77.1,77.0,168.1,2,2
SING.N0000,2016-03-08,80.0,80.1,80.0,80.0,166765.5,2084,7
SING.N0000,2016-03-09,85.0,93.0,85.0,91.8,570093.0,6341,7
SING.N0000,2016-03-10,80.5,90.0,80.5,80.5,112790.0,1401,3
SING.N0000,2016-03-13,80.6,80.7,80.6,80.7,119739.5,1485,2
SING.N0000,2016-03-17,90.0,99.8,90.0,90.0,121539.8,1350,4
SING.N0000,2016-03-27,105.0,105.0,105.0,90.0,105.0,1,1
SING.N0000,2016-03-30,82.0,90.0,82.0,90.0,1040.0,12,3
SING.N0000,2016-03-31,82.0,90.0,82.0,90.0,43716.0,513,6
SING.N0000,2016-04-17,98.5,98.5,98.5,90.0,98.5,1,1
SING.N0000,2016-05-03,85.0,85.0,82.5,90.0,1167.5,14,2
SING.N0000,2016-05-05,83.0,83.0,83.0,90.0,1660.0,20,1
SING.N0000,2016-05-08,83.0,83.0,80.0,90.0,410.8,5,3
SING.N0000,2016-05-10,80.1,80.1,80.1,90.0,5366.7,67,1
SING.N0000,2016-05-12,80.1,80.1,80.1,90.0,80.1,1,1
SING.N0000,2016-05-18,81.2,81.2,81.2,90.0,406.0,5,1
SING.N0000,2016-05-24,85.0,85.0,85.0,90.0,510.0,6,1
SING.N0000,2016-05-25,85.0,85.0,85.0,90.0,6035.0,71,2
SING.N0000,2016-05-26,85.0,85.0,85.0,90.0,3655.0,43,2
SING.N0000,2016-06-02,80.0,80.0,80.0,90.0,400.0,5,1
SING.N0000,2016-06-08,81.0,81.0,80.5,90.0,1697.0,21,7
SING.N0000,2016-06-29,68.0,81.0,68.0,90.0,1776.3,24,4
SING.N0000,2016-06-30,69.2,88.0,69.2,90.0,1365.2,18,5
SING.N0000,2016-07-04,68.1,68.1,68.1,90.0,1702.5,25,1
