ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SLND.N0000,2016-01-03,2200.0,2200.0,2200.0,2118.8,2200.0,1,1
SLND.N0000,2016-01-04,2081.1,2081.1,2081.0,2118.8,12486.1,6,2
SLND.N0000,2016-01-06,1801.0,1801.0,1801.0,2118.8,1801.0,1,1
SLND.N0000,2016-01-07,1850.0,1850.0,1850.0,2118.8,3700.0,2,1
SLND.N0000,2016-01-12,2298.0,2298.0,2298.0,2118.8,2298.0,1,1
SLND.N0000,2016-01-20,1800.0,1800.0,1800.0,2118.8,1800.0,1,1
SLND.N0000,2016-01-27,1650.0,1650.0,1650.0,2118.8,1650.0,1,1
SLND.N0000,2016-01-28,1700.0,1700.0,1700.0,2118.8,1700.0,1,1
SLND.N0000,2016-02-14,1850.0,1850.0,1850.0,2118.8,1850.0,1,1
SLND.N0000,2016-02-16,1850.0,1850.0,1810.0,2118.8,16490.0,9,3
SLND.N0000,2016-02-25,1950.0,1950.0,1900.0,2118.8,48000.0,25,3
SLND.N0000,2016-02-29,1900.0,1900.0,1700.0,2118.8,8700.0,5,2
SLND.N0000,2016-03-07,1700.0,1999.9,1700.0,2118.8,41699.3,24,8
SLND.N0000,2016-03-10,1700.0,1700.0,1700.0,2118.8,1700.0,1,1
SLND.N0000,2016-04-04,1900.0,1900.0,1900.0,2118.8,1900.0,1,1
SLND.N0000,2016-04-05,1900.0,1999.0,1900.0,2118.8,29589.0,15,7
SLND.N0000,2016-04-21,1850.0,1850.0,1850.0,2118.8,49950.0,27,3
SLND.N0000,2016-04-26,1700.0,1700.1,1700.0,2118.8,8500.2,5,2
SLND.N0000,2016-04-27,1700.1,1700.1,1700.0,2118.8,25500.5,15,2
SLND.N0000,2016-05-10,1850.0,1850.0,1850.0,2118.8,9250.0,5,2
SLND.N0000,2016-05-15,1700.0,1700.0,1650.0,1661.2,299593.1,180,30
SLND.N0000,2016-05-16,1699.2,1699.2,1649.2,1661.2,72614.8,44,4
SLND.N0000,2016-05-17,1600.0,1600.0,1600.0,1661.2,3200.0,2,2
SLND.N0000,2016-05-19,1551.0,1900.0,1550.0,1661.2,14151.0,8,3
SLND.N0000,2016-06-12,1550.0,1550.0,1550.0,1661.2,4650.0,3,1
SLND.N0000,2016-06-14,1560.0,1560.0,1550.0,1661.2,26450.0,17,3
SLND.N0000,2016-06-16,1600.0,1600.0,1600.0,1661.2,4800.0,3,1
SLND.N0000,2016-06-20,1300.0,1300.0,1300.0,1661.2,6500.0,5,3
SLND.N0000,2016-06-28,1700.0,1700.0,1700.0,1661.2,90100.0,53,5
