ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
STAF.N0000,2016-01-04,52.4,52.5,52.4,52.5,63399.2,1208,4
STAF.N0000,2016-01-05,50.1,50.1,50.1,52.5,50.1,1,1
STAF.N0000,2016-01-07,50.1,50.1,50.0,50.0,25102.1,502,5
STAF.N0000,2016-01-11,52.5,52.5,52.5,50.0,420.0,8,1
STAF.N0000,2016-01-12,52.3,52.6,52.3,52.5,525008.3,10013,5
STAF.N0000,2016-01-19,52.9,52.9,52.5,52.5,1110.5,21,3
STAF.N0000,2016-01-20,52.5,52.5,52.5,52.5,525.0,10,1
STAF.N0000,2016-01-25,52.0,52.0,48.0,48.0,107540.0,2235,11
STAF.N0000,2016-01-26,50.0,50.0,50.0,48.0,200.0,4,1
STAF.N0000,2016-01-31,50.0,50.0,50.0,48.0,500.0,10,1
STAF.N0000,2016-02-01,49.0,51.8,49.0,49.0,9903.6,202,4
STAF.N0000,2016-02-02,51.8,51.8,51.8,49.0,51.8,1,1
STAF.N0000,2016-02-04,51.8,51.8,50.0,50.0,257301.8,5146,4
STAF.N0000,2016-02-07,49.1,49.1,48.0,48.0,720882.3,15014,16
STAF.N0000,2016-02-08,48.0,48.0,48.0,48.0,48000.0,1000,2
STAF.N0000,2016-02-09,48.0,51.3,48.0,48.2,48564.3,1011,7
STAF.N0000,2016-02-10,47.6,47.6,47.6,47.6,14280.0,300,1
STAF.N0000,2016-02-11,47.6,47.6,47.6,47.6,1428.0,30,1
STAF.N0000,2016-02-15,48.0,51.8,48.0,48.0,3188791.6,66433,13
STAF.N0000,2016-02-17,50.0,50.0,50.0,48.0,1050.0,21,3
STAF.N0000,2016-02-18,49.9,50.0,49.9,49.9,25199.7,505,5
STAF.N0000,2016-02-23,48.0,48.0,45.1,46.0,3040326.0,64310,8
STAF.N0000,2016-02-24,45.2,45.2,45.0,45.0,22524.0,500,3
STAF.N0000,2016-02-25,45.0,45.0,45.0,45.0,4500.0,100,1
STAF.N0000,2016-02-28,45.0,45.0,45.0,45.0,45.0,1,1
STAF.N0000,2016-02-29,45.1,45.1,45.1,45.1,4510.0,100,2
STAF.N0000,2016-03-03,45.0,45.0,45.0,45.0,180000.0,4000,1
STAF.N0000,2016-03-07,45.0,45.0,44.1,44.9,112231.8,2500,5
STAF.N0000,2016-03-09,45.0,45.0,45.0,45.0,22500.0,500,1
STAF.N0000,2016-03-15,44.0,44.0,44.0,44.0,4840.0,110,2
STAF.N0000,2016-03-23,42.0,43.5,42.0,42.0,1977674.0,45642,10
STAF.N0000,2016-03-28,42.0,42.0,42.0,42.0,6426.0,153,2
STAF.N0000,2016-03-29,41.2,42.9,41.2,42.0,854.6,20,2
STAF.N0000,2016-03-31,45.9,46.0,45.9,42.0,137.8,3,2
STAF.N0000,2016-04-03,45.9,47.0,45.0,42.0,1006.6,22,5
STAF.N0000,2016-04-04,42.1,45.1,41.7,41.9,679606.3,16202,25
STAF.N0000,2016-04-05,42.0,43.5,41.0,41.0,2572956.7,62743,55
STAF.N0000,2016-04-06,41.0,42.9,41.0,42.6,261483.5,6200,11
STAF.N0000,2016-04-07,43.2,43.2,43.2,42.6,43.2,1,1
STAF.N0000,2016-04-10,43.2,43.2,43.2,43.2,4320.0,100,1
