ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SWAD.N0000,2016-02-01,15999.9,15999.9,15999.9,13500.0,15999.9,1,1
SWAD.N0000,2016-05-03,13700.0,13750.0,13700.0,13500.0,27450.0,2,2
SWAD.N0000,2016-05-04,13750.0,13750.0,13750.0,13500.0,13750.0,1,1
SWAD.N0000,2016-06-21,13000.0,13000.0,13000.0,13500.0,13000.0,1,1
SWAD.N0000,2016-07-07,15000.0,15000.0,15000.0,13500.0,15000.0,1,1
SWAD.N0000,2016-08-09,10272.0,10272.0,10272.0,13500.0,10272.0,1,1
SWAD.N0000,2016-11-27,10500.0,10500.0,10500.0,13500.0,10500.0,1,1
SWAD.N0000,2017-01-01,14449.8,14450.0,14449.8,13500.0,43349.6,3,2
SWAD.N0000,2017-01-08,14800.0,14800.0,14800.0,13500.0,14800.0,1,1
SWAD.N0000,2017-02-19,15000.0,15000.0,15000.0,13500.0,15000.0,1,1
SWAD.N0000,2017-02-26,14999.0,15000.0,14999.0,13500.0,74999.0,5,3
SWAD.N0000,2017-03-01,12510.0,12510.0,12500.0,13500.0,87511.0,7,4
SWAD.N0000,2017-03-02,12500.0,12500.0,12500.0,13500.0,12500.0,1,1
SWAD.N0000,2017-03-07,12500.0,12500.0,12500.0,13500.0,12500.0,1,1
SWAD.N0000,2017-03-12,12500.0,12500.0,12500.0,13500.0,87500.0,7,1
SWAD.N0000,2017-06-05,10151.0,10151.0,10150.1,13500.0,162402.5,16,7
SWAD.N0000,2017-06-13,10150.0,10150.1,10125.0,13500.0,81125.3,8,4
SWAD.N0000,2017-06-14,10125.0,10125.0,10125.0,13500.0,101250.0,10,1
SWAD.N0000,2017-06-15,10150.0,12499.0,10150.0,13500.0,464247.0,45,30
SWAD.N0000,2017-06-20,10250.0,10250.0,10250.0,13500.0,20500.0,2,1
SWAD.N0000,2017-06-27,10250.0,10250.0,10250.0,13500.0,92250.0,9,7
SWAD.N0000,2017-06-28,10250.0,10250.0,10250.0,13500.0,112750.0,11,2
SWAD.N0000,2017-06-29,10252.0,12990.0,10000.0,13500.0,509403.0,47,36
SWAD.N0000,2017-07-04,12850.0,12850.0,12850.0,13500.0,12850.0,1,1
SWAD.N0000,2017-07-05,11100.0,11100.0,11100.0,13500.0,11100.0,1,1
SWAD.N0000,2017-07-10,12000.0,12400.0,11900.0,13500.0,119800.0,10,5
SWAD.N0000,2017-07-13,10162.0,10162.0,10151.0,13500.0,192880.0,19,10
SWAD.N0000,2017-07-18,10150.0,10150.0,10150.0,13500.0,101500.0,10,6
SWAD.N0000,2017-07-19,10150.0,10150.0,10149.9,13500.0,20299.9,2,2
SWAD.N0000,2017-07-20,10400.0,10400.0,10150.0,13500.0,163946.1,16,8
SWAD.N0000,2017-07-26,10000.0,10000.0,10000.0,12812.5,10000.0,1,1
SWAD.N0000,2017-08-01,10000.0,10149.1,10000.0,12812.5,30249.1,3,3
SWAD.N0000,2017-08-02,10090.0,10100.0,9899.9,12812.5,90270.0,9,9
SWAD.N0000,2017-08-03,9650.0,9650.0,9615.0,12812.5,57735.1,6,4
SWAD.N0000,2017-08-08,7500.0,7800.0,7500.0,12812.5,318000.1,42,11
SWAD.N0000,2017-09-19,9700.0,9700.0,9700.0,12812.5,19400.0,2,1
SWAD.N0000,2017-10-31,10600.0,10600.0,10000.0,12812.5,92410.0,9,4
SWAD.N0000,2018-02-20,9700.0,9700.0,9700.0,12812.5,19400.0,2,1
SWAD.N0000,2018-02-21,9750.0,9750.0,9750.0,12812.5,29250.0,3,1
SWAD.N0000,2018-02-25,9750.0,9750.0,9750.0,12812.5,19500.0,2,1
SWAD.N0000,2018-02-26,9750.0,9750.0,9700.0,12812.5,58300.0,6,3
SWAD.N0000,2018-03-07,10450.0,10500.0,10450.0,12812.5,31450.0,3,2
SWAD.N0000,2018-03-26,10500.0,10500.0,10500.0,12812.5,10500.0,1,1
SWAD.N0000,2018-04-08,10000.0,10000.0,10000.0,12812.5,500000.0,50,4
SWAD.N0000,2018-04-15,10000.0,10000.0,9990.0,12812.5,129970.0,13,2
SWAD.N0000,2018-07-08,10000.0,12800.0,10000.0,12812.5,102800.0,9,4
SWAD.N0000,2018-07-09,12799.0,12800.0,12799.0,12812.5,63999.0,5,2
SWAD.N0000,2018-07-12,10000.0,10000.0,10000.0,12812.5,10000.0,1,1
SWAD.N0000,2018-07-16,10000.0,10000.0,10000.0,12812.5,60000.0,6,1
SWAD.N0000,2018-07-18,10005.0,11900.0,10005.0,12812.5,93205.0,8,5
SWAD.N0000,2018-07-24,11900.0,11900.0,11900.0,12812.5,11900.0,1,1
SWAD.N0000,2018-08-01,10100.0,10100.0,10100.0,12812.5,10100.0,1,1
SWAD.N0000,2018-09-06,9945.0,9945.0,9940.0,12812.5,49705.0,5,3
SWAD.N0000,2018-09-16,15000.0,15000.0,14850.0,14994.8,1724400.0,115,4
SWAD.N0000,2018-09-17,14900.0,14900.0,14900.0,14994.8,149000.0,10,3
SWAD.N0000,2018-09-20,12000.0,15000.0,11900.0,14991.1,5123499.8,343,6
SWAD.N0000,2018-11-07,14991.1,12001.0,12001.0,14991.1,60005.0,5,2
SWAD.N0000,2018-11-15,14991.1,12015.0,12005.0,14991.1,36030.0,3,3
SWAD.N0000,2018-11-25,14991.1,14000.0,12999.9,14991.1,92999.6,7,4
SWAD.N0000,2019-03-11,11992.2,12000.0,11500.0,11992.2,1547000.0,129,4
SWAD.N0000,2019-03-12,14900.0,14900.0,14900.0,14900.0,1817800.0,122,1
SWAD.N0000,2019-05-05,11303.9,11303.9,11300.0,14900.0,33903.9,3,3
SWAD.N0000,2019-06-24,0.0,0.0,,14900.0,525813962.0,37139,1
SWAD.N0000,2019-06-27,12000.0,12000.0,12000.0,14900.0,12000.0,1,1
SWAD.N0000,2019-07-14,13000.0,13000.0,13000.0,14900.0,13000.0,1,1
SWAD.N0000,2019-07-22,14900.0,14900.0,14900.0,14900.0,14900.0,1,1
SWAD.N0000,2019-10-17,13900.0,13900.0,13900.0,14900.0,13900.0,1,1
SWAD.N0000,2019-10-30,14000.0,14000.1,14000.0,14900.0,84000.1,6,2
SWAD.N0000,2019-10-31,14900.0,15000.0,14900.0,14900.0,119400.0,8,3
SWAD.N0000,2019-12-23,14949.0,14949.0,14949.0,14900.0,14949.0,1,1
SWAD.N0000,2020-02-13,12000.2,12000.2,12000.2,14900.0,12000.2,1,1
SWAD.N0000,2020-03-12,12200.0,12200.0,12200.0,14900.0,12200.0,1,1
SWAD.N0000,2020-05-13,14000.0,14000.0,14000.0,14900.0,56000.0,4,1
SWAD.N0000,2020-05-26,14900.0,14900.0,14900.0,14900.0,44700.0,3,1
SWAD.N0000,2020-06-07,14000.0,14000.0,14000.0,14900.0,14000.0,1,1
SWAD.N0000,2020-10-19,17996.0,17998.0,17996.0,14900.0,71990.0,4,2
SWAD.N0000,2020-10-21,14900.0,14900.0,14900.0,14900.0,14900.0,1,1
SWAD.N0000,2020-11-16,14900.0,14900.0,14900.0,14900.0,14900.0,1,1
SWAD.N0000,2020-12-13,14900.0,14900.0,14900.0,14900.0,14900.0,1,1
SWAD.N0000,2020-12-15,17500.0,17500.0,17500.0,14900.0,17500.0,1,1
SWAD.N0000,2020-12-27,18000.0,18500.0,17250.0,18324.8,1868800.0,102,14
SWAD.N0000,2020-12-29,18500.0,18500.0,18500.0,18324.8,37000.0,2,1
SWAD.N0000,2021-01-04,18000.0,18000.0,18000.0,18324.8,18000.0,1,1
SWAD.N0000,2021-01-05,20000.0,20000.0,20000.0,18324.8,200000.0,10,1
SWAD.N0000,2021-01-20,21500.0,21500.0,21500.0,18324.8,86000.0,4,3
SWAD.N0000,2021-01-21,20000.0,20000.0,20000.0,18324.8,60000.0,3,2
SWAD.N0000,2021-01-24,21800.0,22800.0,21800.0,18324.8,66600.0,3,3
SWAD.N0000,2021-01-26,21000.0,21000.0,21000.0,18324.8,42000.0,2,2
SWAD.N0000,2021-01-28,22500.0,22500.0,22500.0,18324.8,22500.0,1,1
SWAD.N0000,2021-02-01,18402.0,18600.0,18401.0,18324.8,314031.0,17,10
SWAD.N0000,2021-02-02,21500.0,21500.0,21500.0,18324.8,21500.0,1,1
SWAD.N0000,2021-02-17,16500.0,16500.0,16500.0,18324.8,16500.0,1,1
SWAD.N0000,2021-02-28,16000.0,16000.0,16000.0,18324.8,16000.0,1,1
SWAD.N0000,2021-03-01,16251.0,16251.0,16251.0,18324.8,16251.0,1,1
SWAD.N0000,2021-03-07,17500.0,17500.0,17500.0,18324.8,17500.0,1,1
SWAD.N0000,2021-03-17,18025.0,18025.0,18025.0,18324.8,18025.0,1,1
SWAD.N0000,2021-04-20,18500.0,18500.0,18500.0,18324.8,74000.0,4,2
SWAD.N0000,2021-05-18,17751.0,17751.0,17750.0,18324.8,230752.75,13,5
SWAD.N0000,2021-06-03,21500.0,21500.0,20000.0,18324.8,205759.5,10,5
SWAD.N0000,2021-06-06,20000.25,21490.0,18078.0,18324.8,162549.0,8,4
SWAD.N0000,2021-06-08,18900.0,18900.0,18900.0,18324.8,18900.0,1,1
SWAD.N0000,2021-06-09,18210.0,18210.0,18075.0,18324.8,506918.75,28,8
SWAD.N0000,2021-06-10,18003.0,18003.0,17600.0,17987.0,12824805.0,713,24
SWAD.N0000,2021-06-13,18000.0,18000.0,18000.0,17987.0,18000.0,1,1
SWAD.N0000,2021-06-15,18100.0,18100.0,18100.0,17987.0,18100.0,1,1
SWAD.N0000,2021-06-16,18000.0,18800.0,18000.0,17987.0,332699.75,18,10
SWAD.N0000,2021-06-17,18105.25,18105.25,18000.0,17987.0,144736.5,8,3
SWAD.N0000,2021-06-20,17611.0,17611.0,17611.0,17987.0,17611.0,1,1
SWAD.N0000,2021-06-21,18698.75,18698.75,18698.75,17987.0,18698.75,1,1
SWAD.N0000,2021-07-05,18699.0,18700.0,18699.0,17987.0,37399.0,2,2
SWAD.N0000,2021-07-11,18550.0,18550.0,18550.0,17987.0,37100.0,2,2
SWAD.N0000,2021-07-19,17010.0,17010.0,17010.0,17987.0,17010.0,1,1
SWAD.N0000,2021-07-26,17015.0,17015.0,17015.0,17987.0,17015.0,1,1
SWAD.N0000,2021-07-29,18889.0,18889.0,18889.0,17987.0,18889.0,1,1
SWAD.N0000,2021-08-01,17899.0,17899.0,17899.0,17987.0,17899.0,1,1
SWAD.N0000,2021-08-08,17500.0,17500.0,17500.0,17987.0,17500.0,1,1
SWAD.N0000,2021-08-23,16600.0,16650.0,16511.0,17987.0,215591.0,13,11
SWAD.N0000,2021-08-25,15250.25,15250.25,15250.25,17987.0,15250.25,1,1
SWAD.N0000,2021-08-26,16100.0,16100.0,16100.0,17987.0,16100.0,1,1
SWAD.N0000,2021-09-15,17950.0,17950.0,17950.0,17987.0,17950.0,1,1
SWAD.N0000,2021-10-17,17950.0,17950.0,17950.0,17950.0,7180000.0,400,1
SWAD.N0000,2021-10-26,15011.0,17001.0,15000.0,15003.5,8839110.0,589,13
SWAD.N0000,2021-10-27,16500.0,16500.0,16000.0,15003.5,32500.0,2,2
SWAD.N0000,2021-11-01,17849.0,17850.0,15201.0,15003.5,689342.0,45,3
SWAD.N0000,2021-11-04,15330.0,15330.0,15330.0,15003.5,30660.0,2,1
SWAD.N0000,2021-11-07,15330.0,15330.0,15330.0,15003.5,15330.0,1,1
SWAD.N0000,2021-11-21,17999.5,17999.5,17999.5,15003.5,17999.5,1,1
SWAD.N0000,2021-11-25,17000.0,17000.0,17000.0,15003.5,17000.0,1,1
SWAD.N0000,2021-12-19,13350.0,13350.0,13350.0,15003.5,13350.0,1,1
SWAD.N0000,2022-01-20,14000.0,14000.0,14000.0,15003.5,14000.0,1,1
SWAD.N0000,2022-02-09,18379.0,18379.0,18379.0,15003.5,18379.0,1,1
