ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TAFL.N0000,2016-01-03,123.0,124.0,121.2,121.9,2109430.0,17219,25
TAFL.N0000,2016-01-04,122.6,122.6,121.0,121.0,2617705.0,21632,21
TAFL.N0000,2016-01-05,122.5,122.5,120.1,121.0,2565765.6,21226,10
TAFL.N0000,2016-01-06,119.0,121.0,119.0,119.0,148871.0,1251,3
TAFL.N0000,2016-01-07,118.6,118.6,117.0,117.0,349721.5,2965,15
TAFL.N0000,2016-01-10,114.0,117.0,108.0,110.6,3024663.4,27210,62
TAFL.N0000,2016-01-11,110.6,112.9,109.1,110.2,2592613.1,23479,55
TAFL.N0000,2016-01-12,111.0,116.5,111.0,112.0,8561039.5,76111,57
TAFL.N0000,2016-01-13,116.0,116.0,106.5,109.9,964773.4,8746,30
TAFL.N0000,2016-01-17,108.0,108.0,96.6,97.2,2665223.7,26464,44
TAFL.N0000,2016-01-18,103.0,103.0,84.9,93.6,18636292.1,208666,261
TAFL.N0000,2016-01-19,94.8,98.0,88.9,91.6,9135902.9,99124,177
TAFL.N0000,2016-01-20,93.0,102.8,93.0,102.1,36385452.6,368372,393
TAFL.N0000,2016-01-21,106.0,107.5,101.0,103.3,22835518.6,219583,313
TAFL.N0000,2016-01-24,103.5,105.8,101.1,103.4,5253921.8,50635,121
TAFL.N0000,2016-01-25,104.9,105.0,102.6,103.4,1263759.1,12175,53
TAFL.N0000,2016-01-26,103.9,104.8,102.0,102.5,6206238.3,60444,75
TAFL.N0000,2016-01-27,102.2,104.6,101.7,103.0,1191389.1,11593,36
TAFL.N0000,2016-01-28,104.8,106.3,103.4,105.7,6741135.0,63858,124
TAFL.N0000,2016-01-31,106.9,106.9,104.1,104.9,379301.1,3575,20
TAFL.N0000,2016-02-01,107.1,109.0,105.5,108.5,33431405.6,314102,156
TAFL.N0000,2016-02-02,108.8,108.8,106.6,106.9,8255733.1,77067,82
TAFL.N0000,2016-02-04,109.6,109.9,106.9,109.8,16845746.7,156088,153
TAFL.N0000,2016-02-07,109.9,112.0,109.1,109.2,5341385.0,48662,117
TAFL.N0000,2016-02-08,109.0,109.0,106.6,107.1,24670821.0,228445,148
TAFL.N0000,2016-02-09,109.4,109.4,106.5,108.8,4572675.3,42074,60
TAFL.N0000,2016-02-10,107.1,108.4,106.5,107.1,1782797.5,16657,53
TAFL.N0000,2016-02-11,107.0,107.0,104.5,104.9,1472648.3,13986,43
TAFL.N0000,2016-02-14,104.5,105.0,100.5,102.6,4066682.5,39147,80
TAFL.N0000,2016-02-15,104.0,106.0,103.3,104.7,3645066.8,34869,71
TAFL.N0000,2016-02-16,106.5,106.5,99.0,100.0,2492069.6,24596,53
TAFL.N0000,2016-02-17,100.0,103.4,100.0,101.1,4357946.9,42979,89
TAFL.N0000,2016-02-18,100.0,105.0,100.0,104.2,1714508.7,16546,35
TAFL.N0000,2016-02-22,105.0,105.0,101.4,101.5,1158092.9,11402,9
TAFL.N0000,2016-02-23,105.0,105.0,102.0,104.0,516620.5,5026,19
TAFL.N0000,2016-02-24,105.0,105.0,103.5,104.1,1291426.1,12377,45
TAFL.N0000,2016-02-25,108.0,108.0,101.0,102.0,10323672.9,99100,181
TAFL.N0000,2016-02-28,103.9,103.9,98.2,99.8,3002636.0,30037,88
TAFL.N0000,2016-02-29,98.5,100.0,93.1,94.3,5880483.2,61567,112
TAFL.N0000,2016-03-01,93.2,95.0,88.0,88.8,8674943.5,96571,100
TAFL.N0000,2016-03-02,88.0,90.0,87.0,87.2,2940351.2,33755,40
TAFL.N0000,2016-03-03,90.0,90.0,86.6,86.9,2233422.5,25444,103
TAFL.N0000,2016-03-07,87.0,87.0,79.0,80.0,5213987.2,64734,113
TAFL.N0000,2016-03-08,82.9,83.9,70.1,80.0,8445258.1,106941,141
TAFL.N0000,2016-03-09,80.0,90.0,79.0,88.4,8639316.7,99675,159
TAFL.N0000,2016-03-10,90.0,91.9,86.1,89.2,3624501.8,40622,84
TAFL.N0000,2016-03-13,89.0,89.0,82.0,83.5,2782680.0,33750,42
TAFL.N0000,2016-03-14,85.0,87.0,83.0,85.4,855863.9,10051,28
TAFL.N0000,2016-03-15,88.0,91.5,87.0,90.0,7838298.1,87899,63
TAFL.N0000,2016-03-16,91.0,92.7,89.5,89.9,3143843.5,34624,77
TAFL.N0000,2016-03-17,89.5,89.5,85.5,86.6,2616811.5,30164,18
TAFL.N0000,2016-03-20,87.0,88.0,86.1,86.6,8293538.0,95242,95
TAFL.N0000,2016-03-22,88.0,88.0,86.0,86.8,1854690.0,21407,13
TAFL.N0000,2016-03-23,87.1,89.5,87.1,88.5,2904772.3,32706,58
TAFL.N0000,2016-03-27,89.3,89.3,86.5,86.5,5245315.2,60441,56
TAFL.N0000,2016-03-28,86.0,86.0,83.3,84.1,479152.7,5689,28
TAFL.N0000,2016-03-29,84.0,87.0,84.0,86.3,1807042.6,20976,28
TAFL.N0000,2016-03-30,86.0,86.4,85.0,85.2,957571.4,11230,14
TAFL.N0000,2016-03-31,88.5,89.0,86.3,88.6,3572879.9,40512,51
TAFL.N0000,2016-04-03,89.8,92.8,89.8,92.1,10034438.1,109732,149
TAFL.N0000,2016-04-04,92.8,101.9,92.8,99.7,22476344.8,231192,241
TAFL.N0000,2016-04-05,101.0,102.0,98.0,100.4,12566299.3,125688,170
TAFL.N0000,2016-04-06,101.0,104.8,99.0,102.9,6359650.1,61201,112
TAFL.N0000,2016-04-07,102.9,104.8,100.0,100.8,5610864.6,54631,60
TAFL.N0000,2016-04-10,102.0,103.5,98.0,102.5,9443390.3,94546,154
TAFL.N0000,2016-04-11,103.5,107.0,102.1,106.9,8775135.6,83023,149
TAFL.N0000,2016-04-14,107.9,108.5,106.0,107.0,4061314.7,37801,61
TAFL.N0000,2016-04-17,105.1,106.8,103.0,104.8,1225219.2,11689,30
TAFL.N0000,2016-04-18,106.0,106.0,103.0,103.5,671859.9,6424,19
TAFL.N0000,2016-04-19,104.0,105.0,103.0,103.5,1443827.3,13818,20
TAFL.N0000,2016-04-21,104.0,106.0,103.0,105.1,3888187.2,37526,35
TAFL.N0000,2016-04-24,106.0,106.0,102.0,105.7,11196470.5,107449,72
TAFL.N0000,2016-04-25,106.0,109.0,105.8,108.1,8829983.9,81944,129
TAFL.N0000,2016-04-26,109.8,113.0,108.5,112.6,14677213.1,132203,185
TAFL.N0000,2016-04-27,113.0,118.0,112.0,117.1,19124382.9,165812,234
TAFL.N0000,2016-04-28,118.0,124.0,118.0,122.8,42976941.3,357324,260
TAFL.N0000,2016-05-02,123.4,124.8,120.0,122.0,8849856.5,72649,94
TAFL.N0000,2016-05-03,122.0,124.7,118.9,121.3,7383313.0,61104,119
TAFL.N0000,2016-05-04,120.0,122.3,119.1,119.9,4814010.7,40109,75
TAFL.N0000,2016-05-05,124.0,128.0,123.2,125.5,16268061.8,129689,245
TAFL.N0000,2016-05-08,126.0,128.0,124.0,127.3,6171638.2,48560,130
TAFL.N0000,2016-05-09,127.5,130.0,123.0,129.3,16618417.9,128903,200
TAFL.N0000,2016-05-10,129.3,132.9,129.0,131.4,8003128.4,61703,113
TAFL.N0000,2016-05-11,131.7,133.0,127.0,128.9,4125434.0,31922,81
TAFL.N0000,2016-05-12,129.6,132.9,128.1,128.9,846102.4,6558,30
TAFL.N0000,2016-05-15,130.0,130.0,128.0,128.0,14738306.2,115123,58
TAFL.N0000,2016-05-16,128.9,129.4,127.0,128.2,2188692.4,17059,39
TAFL.N0000,2016-05-17,128.5,132.0,128.0,129.8,16375362.6,127647,68
TAFL.N0000,2016-05-18,131.9,131.9,128.0,128.2,2528910.1,19690,27
TAFL.N0000,2016-05-19,125.2,128.6,124.0,125.0,3613031.8,28880,49
TAFL.N0000,2016-05-23,126.0,126.0,123.2,124.0,6220619.7,50059,57
TAFL.N0000,2016-05-24,125.0,125.0,120.7,122.8,18116663.3,148388,77
TAFL.N0000,2016-05-25,122.5,124.0,120.5,122.6,1397445.9,11435,34
TAFL.N0000,2016-05-26,122.6,126.9,122.6,124.8,6062329.4,48703,56
TAFL.N0000,2016-05-29,126.8,128.9,124.5,124.6,2357044.2,18719,30
TAFL.N0000,2016-05-30,123.8,125.9,122.9,123.0,2915632.0,23662,29
TAFL.N0000,2016-05-31,124.4,125.0,123.0,124.3,626491.4,5033,21
TAFL.N0000,2016-06-01,123.1,127.0,123.1,125.8,4898732.2,39049,35
TAFL.N0000,2016-06-02,127.0,128.0,126.1,127.7,6013863.3,47186,66
TAFL.N0000,2016-06-05,129.0,129.9,127.5,128.0,3425456.9,26598,55
TAFL.N0000,2016-06-06,127.1,127.1,126.0,126.1,1184621.9,9396,13
TAFL.N0000,2016-06-07,127.0,128.0,126.0,126.5,2387676.4,18870,32
TAFL.N0000,2016-06-08,128.0,128.0,125.5,126.1,355958.3,2817,12
TAFL.N0000,2016-06-09,126.9,127.0,125.2,125.6,767769.5,6100,31
TAFL.N0000,2016-06-12,126.0,126.0,124.2,125.4,705647.4,5627,69
TAFL.N0000,2016-06-13,126.0,127.5,125.0,125.0,4547025.4,36047,56
TAFL.N0000,2016-06-14,125.0,127.0,123.0,123.0,414221.5,3351,13
TAFL.N0000,2016-06-15,123.0,124.5,123.0,123.0,871072.7,7079,27
TAFL.N0000,2016-06-16,124.5,126.9,124.1,125.0,252413.8,2012,10
TAFL.N0000,2016-06-19,123.0,126.0,123.0,123.3,1122810.0,9110,5
TAFL.N0000,2016-06-20,125.9,125.9,123.4,123.3,10273.5,83,5
TAFL.N0000,2016-06-21,123.3,124.0,123.0,123.0,2631141.0,21380,14
TAFL.N0000,2016-06-22,124.0,125.0,122.5,124.4,785822.8,6368,29
TAFL.N0000,2016-06-23,124.0,124.0,121.0,122.0,1738271.1,14230,61
TAFL.N0000,2016-06-26,123.9,123.9,118.0,118.6,1681599.3,14217,28
TAFL.N0000,2016-06-27,118.0,123.5,118.0,119.6,2450702.4,20497,34
TAFL.N0000,2016-06-28,120.0,120.0,119.0,119.0,964540.0,8092,18
TAFL.N0000,2016-06-29,122.6,122.6,120.0,121.5,4121943.0,33921,28
TAFL.N0000,2016-06-30,122.5,122.6,119.1,122.5,741598.7,6096,11
TAFL.N0000,2016-07-03,120.1,123.0,120.0,120.0,1270980.0,10591,9
TAFL.N0000,2016-07-04,122.5,124.9,120.0,123.8,3764984.4,30484,39
TAFL.N0000,2016-07-06,124.0,125.0,123.5,124.9,8200510.7,65951,47
TAFL.N0000,2016-07-07,127.0,129.9,126.0,126.9,1731749.5,13557,41
TAFL.N0000,2016-07-10,125.0,129.5,125.0,127.3,484671.4,3828,12
TAFL.N0000,2016-07-11,127.4,132.5,127.4,131.1,17586279.8,134733,127
TAFL.N0000,2016-07-12,132.8,134.9,128.3,130.0,1376701.8,10528,23
TAFL.N0000,2016-07-13,134.4,136.2,130.0,135.0,29758435.9,221368,204
TAFL.N0000,2016-07-14,135.3,136.0,134.0,134.8,3414343.1,25295,47
TAFL.N0000,2016-07-17,135.0,135.0,132.1,134.5,1079258.0,8033,21
TAFL.N0000,2016-07-19,134.0,138.0,134.0,135.2,6344376.8,47088,51
TAFL.N0000,2016-07-20,135.0,141.5,135.0,139.7,13724680.9,98939,109
TAFL.N0000,2016-07-21,140.0,144.0,136.0,139.0,10673184.6,76361,94
TAFL.N0000,2016-07-24,138.1,138.2,137.0,137.0,587760.0,4275,7
TAFL.N0000,2016-07-25,138.0,138.0,133.0,133.2,5266746.5,39193,44
TAFL.N0000,2016-07-26,137.0,137.0,135.0,135.0,4226999.0,31231,32
TAFL.N0000,2016-07-27,136.9,136.9,134.5,135.0,1675850.5,12415,6
TAFL.N0000,2016-07-28,129.0,136.8,129.0,134.3,3593908.0,26810,14
TAFL.N0000,2016-07-31,137.0,139.9,136.1,137.9,2210157.4,16041,39
TAFL.N0000,2016-08-01,135.1,139.5,135.1,138.1,3387276.9,24546,94
TAFL.N0000,2016-08-02,135.1,139.8,135.1,138.9,5053729.4,36427,40
TAFL.N0000,2016-08-03,139.0,140.0,136.5,136.7,9826963.9,71090,120
TAFL.N0000,2016-08-04,133.0,136.5,133.0,136.7,2295.5,17,4
TAFL.N0000,2016-08-07,134.1,136.7,134.1,134.2,223266.6,1664,10
TAFL.N0000,2016-08-08,136.0,137.5,134.0,136.1,2058190.0,15159,42
TAFL.N0000,2016-08-09,137.5,139.0,137.0,137.3,1426195.9,10396,44
TAFL.N0000,2016-08-10,139.0,142.0,137.0,140.1,21476079.5,154737,101
TAFL.N0000,2016-08-11,142.0,143.0,140.0,141.0,8581770.1,60776,52
TAFL.N0000,2016-08-14,141.5,145.0,140.7,140.7,332935.2,2345,13
TAFL.N0000,2016-08-15,141.0,141.0,138.0,139.2,8487943.3,60962,54
TAFL.N0000,2016-08-17,138.0,139.9,138.0,138.0,610198.9,4413,58
TAFL.N0000,2016-08-18,139.7,141.0,138.3,139.0,3954942.7,28437,36
TAFL.N0000,2016-08-21,140.9,141.0,138.0,139.4,3148144.5,22610,42
TAFL.N0000,2016-08-22,139.5,147.0,139.5,145.4,32194154.4,222718,224
TAFL.N0000,2016-08-23,146.9,146.9,142.5,142.8,877505.2,6068,28
TAFL.N0000,2016-08-24,139.6,145.0,139.6,141.4,22906871.9,161222,94
TAFL.N0000,2016-08-25,140.5,144.0,140.0,141.2,3584372.0,25402,20
TAFL.N0000,2016-08-28,144.8,144.8,139.6,142.1,2597170.2,18300,32
TAFL.N0000,2016-08-29,142.1,146.0,141.0,144.9,6140701.7,42802,46
TAFL.N0000,2016-08-30,140.0,146.5,140.0,143.1,4019436.7,28129,35
TAFL.N0000,2016-08-31,145.0,147.8,144.0,147.0,16890041.6,115299,104
TAFL.N0000,2016-09-01,148.8,152.0,147.0,147.5,15011541.8,100716,103
TAFL.N0000,2016-09-04,148.0,150.0,146.0,147.1,2465056.0,16717,21
TAFL.N0000,2016-09-05,148.9,149.0,145.0,148.0,5724774.9,38763,23
TAFL.N0000,2016-09-06,147.0,149.0,147.0,148.4,268648.5,1821,11
TAFL.N0000,2016-09-07,146.2,148.0,146.2,148.0,721774.5,4886,21
TAFL.N0000,2016-09-08,147.9,148.0,146.5,146.5,1022947.4,6971,22
TAFL.N0000,2016-09-12,146.5,147.0,146.2,146.3,513673.0,3510,6
TAFL.N0000,2016-09-13,146.2,148.6,146.2,147.3,11941230.6,81062,47
