ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TAJ.N0000,2016-01-03,25.3,25.3,25.0,25.0,42650.0,1700,8
TAJ.N0000,2016-01-04,25.0,25.5,25.0,25.1,73900.0,2950,14
TAJ.N0000,2016-01-05,24.9,25.9,24.9,25.8,859673352.0,34386933,13
TAJ.N0000,2016-01-06,25.0,25.0,25.0,25.0,2500.0,100,1
TAJ.N0000,2016-01-07,24.8,25.0,24.8,25.0,746.0,30,2
TAJ.N0000,2016-01-10,24.8,24.8,24.4,24.4,14899.2,604,4
TAJ.N0000,2016-01-11,24.4,24.4,23.0,24.3,97694.8,4057,12
TAJ.N0000,2016-01-12,24.9,25.0,24.9,24.9,32870.0,1320,3
TAJ.N0000,2016-01-13,24.0,24.0,24.0,24.0,3600.0,150,1
TAJ.N0000,2016-01-17,23.5,23.5,23.0,23.0,793625.0,34264,23
TAJ.N0000,2016-01-18,23.1,23.1,23.0,23.0,146600.1,6370,10
TAJ.N0000,2016-01-19,23.0,23.0,23.0,23.0,2530.0,110,2
TAJ.N0000,2016-01-20,23.5,23.5,23.5,23.5,70500.0,3000,5
TAJ.N0000,2016-01-21,23.6,23.6,23.6,23.6,59000.0,2500,5
TAJ.N0000,2016-01-24,23.5,23.5,22.8,23.0,33703.0,1460,9
TAJ.N0000,2016-01-25,22.9,22.9,22.0,22.1,474609.1,21327,36
TAJ.N0000,2016-01-26,23.0,23.0,21.7,22.0,37128.0,1689,10
TAJ.N0000,2016-01-27,21.5,22.9,21.5,21.6,21484.1,995,7
TAJ.N0000,2016-01-28,22.7,22.7,22.0,21.6,787.5,35,2
TAJ.N0000,2016-01-31,23.0,23.0,22.0,22.0,13400.0,600,6
TAJ.N0000,2016-02-01,22.0,23.9,22.0,22.0,55023.9,2501,5
TAJ.N0000,2016-02-02,23.7,23.7,23.7,22.0,47.4,2,1
TAJ.N0000,2016-02-04,22.5,23.4,22.2,22.4,4493.4,201,3
TAJ.N0000,2016-02-07,23.8,23.8,23.8,23.8,13090.0,550,2
TAJ.N0000,2016-02-08,22.2,22.2,22.2,22.2,2220.0,100,1
TAJ.N0000,2016-02-09,23.0,23.4,23.0,23.3,11660.0,500,3
