ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TANG.N0000,2016-01-04,79.0,79.0,79.0,78.3,158.0,2,1
TANG.N0000,2016-01-17,75.0,75.0,60.6,60.6,21060.4,300,3
TANG.N0000,2016-01-18,60.6,60.6,60.0,60.0,226100.0,3750,7
TANG.N0000,2016-01-19,65.0,65.0,60.0,60.0,3929.0,62,6
TANG.N0000,2016-01-25,60.1,60.1,60.1,60.1,6130.2,102,1
TANG.N0000,2016-01-26,60.0,63.0,60.0,60.0,41961.0,699,7
TANG.N0000,2016-02-01,60.0,60.0,60.0,60.0,228000.0,3800,5
TANG.N0000,2016-02-02,64.8,64.8,64.8,60.0,64.8,1,1
TANG.N0000,2016-02-08,64.8,64.8,64.8,60.0,324.0,5,1
TANG.N0000,2016-02-10,60.0,60.0,60.0,60.0,9600.0,160,3
TANG.N0000,2016-02-14,60.0,60.0,59.1,60.0,715.5,12,4
TANG.N0000,2016-02-15,59.1,60.0,59.1,60.0,1478.4,25,2
TANG.N0000,2016-02-16,60.0,60.0,59.1,59.7,13188.0,221,6
TANG.N0000,2016-02-22,62.0,62.0,62.0,59.7,4836.0,78,2
TANG.N0000,2016-02-23,60.0,60.0,60.0,59.7,180.0,3,3
TANG.N0000,2016-03-07,55.0,55.0,55.0,55.0,5500.0,100,1
TANG.N0000,2016-03-09,50.0,50.0,50.0,55.0,1250.0,25,1
TANG.N0000,2016-03-14,60.1,60.1,60.1,55.0,1021.7,17,1
TANG.N0000,2016-03-17,65.0,65.0,65.0,55.0,65.0,1,1
TANG.N0000,2016-03-20,65.0,65.0,65.0,65.0,6500.0,100,1
TANG.N0000,2016-03-27,65.0,65.0,65.0,65.0,325.0,5,1
TANG.N0000,2016-03-29,63.9,64.0,63.9,63.9,30034.0,470,2
TANG.N0000,2016-03-30,59.8,68.0,59.8,66.7,6904.2,104,3
TANG.N0000,2016-04-04,59.8,59.8,59.8,66.7,59.8,1,1
TANG.N0000,2016-04-05,68.0,68.0,68.0,66.7,68.0,1,1
TANG.N0000,2016-04-10,61.3,61.3,61.3,66.7,306.5,5,1
TANG.N0000,2016-04-17,69.7,69.7,69.7,66.7,627.3,9,1
TANG.N0000,2016-04-21,66.7,66.7,66.7,66.7,2001.0,30,1
TANG.N0000,2016-04-24,69.0,69.0,69.0,66.7,3795.0,55,3
TANG.N0000,2016-04-28,68.7,68.7,68.7,66.7,687.0,10,1
TANG.N0000,2016-05-04,60.0,64.0,60.0,60.1,8116.0,135,3
TANG.N0000,2016-05-05,64.0,64.0,64.0,60.1,1216.0,19,1
TANG.N0000,2016-05-11,50.1,64.0,50.1,60.1,690.1,11,2
TANG.N0000,2016-05-15,60.0,60.0,60.0,60.0,66000.0,1100,5
TANG.N0000,2016-05-17,60.0,60.0,60.0,60.0,60.0,1,1
