ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TAP.N0000,2016-01-05,5.0,5.0,5.0,5.0,130000.0,26000,7
TAP.N0000,2016-01-10,4.5,4.5,4.5,4.5,72000.0,16000,2
TAP.N0000,2016-01-11,4.1,4.5,4.1,4.3,7581.4,1764,4
TAP.N0000,2016-01-12,4.9,4.9,4.3,4.3,7093.6,1510,4
TAP.N0000,2016-01-13,4.2,4.2,4.0,4.0,423320.0,104510,17
TAP.N0000,2016-01-17,3.9,3.9,3.9,4.0,7.8,2,1
TAP.N0000,2016-01-18,3.9,4.0,3.9,3.9,50909.2,13028,12
TAP.N0000,2016-01-19,3.9,4.1,3.9,4.0,28000.0,7000,4
TAP.N0000,2016-01-20,4.3,4.5,4.3,4.4,138843.0,31210,7
TAP.N0000,2016-01-21,4.9,4.9,4.0,4.0,105990.0,26100,8
TAP.N0000,2016-01-25,4.1,4.3,4.1,4.3,8400.0,2000,3
TAP.N0000,2016-01-26,4.1,4.1,4.1,4.1,4100.0,1000,1
TAP.N0000,2016-01-27,4.1,4.1,4.1,4.1,405.9,99,1
TAP.N0000,2016-01-28,4.2,4.2,4.2,4.2,420.0,100,2
TAP.N0000,2016-02-01,4.2,4.8,4.2,4.5,9540.6,2200,6
TAP.N0000,2016-02-02,4.3,4.8,4.3,4.8,484.3,101,2
TAP.N0000,2016-02-04,4.4,4.4,4.4,4.8,4.4,1,1
TAP.N0000,2016-02-08,4.7,4.7,4.5,4.5,45028.2,10006,2
TAP.N0000,2016-02-15,4.5,4.5,4.5,4.5,4500.0,1000,1
TAP.N0000,2016-02-16,4.0,4.0,4.0,4.0,44000.0,11000,5
TAP.N0000,2016-02-17,4.1,4.1,3.9,3.9,23600.0,6000,3
TAP.N0000,2016-02-18,3.8,4.0,3.8,4.0,121580.0,30600,10
TAP.N0000,2016-02-28,3.8,3.8,3.8,3.8,3040.0,800,1
TAP.N0000,2016-02-29,3.8,4.0,3.8,4.0,111007.7,28502,10
TAP.N0000,2016-03-01,3.8,3.8,3.7,3.8,37999.9,10000,2
TAP.N0000,2016-03-07,3.6,3.9,3.6,3.8,168543.8,45301,12
