ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TESS.N0000,2016-01-03,1.7,1.7,1.6,1.7,34955.6,20566,7
TESS.N0000,2016-01-04,1.7,1.7,1.6,1.6,1018.6,636,4
TESS.N0000,2016-01-05,1.7,1.7,1.7,1.7,52708.5,31005,10
TESS.N0000,2016-01-06,1.7,1.7,1.6,1.6,5406.8,3373,4
TESS.N0000,2016-01-07,1.6,1.7,1.6,1.6,2819261.2,1762032,33
TESS.N0000,2016-01-10,1.6,1.6,1.6,1.6,393920.0,246200,15
TESS.N0000,2016-01-11,1.6,1.6,1.5,1.5,280982.8,185329,16
TESS.N0000,2016-01-12,1.6,1.6,1.5,1.6,3536.6,2211,5
TESS.N0000,2016-01-13,1.6,1.6,1.6,1.6,1.6,1,1
TESS.N0000,2016-01-17,1.5,1.5,1.5,1.5,284625.0,189750,13
TESS.N0000,2016-01-18,1.6,1.6,1.4,1.5,308449.0,206612,24
TESS.N0000,2016-01-19,1.5,1.6,1.4,1.4,15384.1,10260,4
TESS.N0000,2016-01-20,1.5,1.5,1.5,1.5,61950.0,41300,7
TESS.N0000,2016-01-21,1.5,1.6,1.5,1.5,491068.5,327369,17
TESS.N0000,2016-01-24,1.5,1.5,1.4,1.4,166484.0,118767,10
TESS.N0000,2016-01-25,1.5,1.6,1.4,1.4,1112247.7,776723,54
TESS.N0000,2016-01-26,1.4,1.4,1.4,1.4,107814.0,77010,5
TESS.N0000,2016-01-27,1.5,1.5,1.4,1.5,52022.2,35623,9
TESS.N0000,2016-01-28,1.5,1.6,1.5,1.5,361578.5,241049,27
TESS.N0000,2016-01-31,1.5,1.6,1.5,1.5,47959.0,31962,10
TESS.N0000,2016-02-01,1.4,1.6,1.4,1.5,714000.0,475997,23
TESS.N0000,2016-02-02,1.5,1.6,1.5,1.5,42074.3,28009,12
TESS.N0000,2016-02-04,1.5,1.5,1.5,1.5,156924.0,104616,8
TESS.N0000,2016-02-07,1.6,1.6,1.6,1.5,32.0,20,1
TESS.N0000,2016-02-08,1.5,1.5,1.5,1.5,1950.0,1300,3
TESS.N0000,2016-02-09,1.5,1.5,1.4,1.4,7130.0,5020,4
TESS.N0000,2016-02-10,1.5,1.5,1.4,1.4,785660.0,560820,21
TESS.N0000,2016-02-11,1.5,1.5,1.4,1.4,51600.0,36800,5
TESS.N0000,2016-02-14,1.5,1.5,1.3,1.4,1689418.3,1273213,37
TESS.N0000,2016-02-15,1.4,1.4,1.4,1.4,280000.0,200000,3
TESS.N0000,2016-02-16,1.3,1.3,1.3,1.4,1.3,1,1
TESS.N0000,2016-02-17,1.3,1.4,1.3,1.3,256036.7,196109,28
TESS.N0000,2016-02-18,1.3,1.3,1.2,1.3,185500.0,143000,14
TESS.N0000,2016-02-22,1.3,1.3,1.2,1.3,32136.7,25315,7
TESS.N0000,2016-02-23,1.2,1.3,1.2,1.3,41232.6,31902,6
TESS.N0000,2016-02-24,1.2,1.3,1.2,1.3,16470.8,13034,7
TESS.N0000,2016-02-25,1.2,1.3,1.2,1.2,9730.0,8100,6
TESS.N0000,2016-02-29,1.2,1.3,1.2,1.2,1063851.7,885668,44
TESS.N0000,2016-03-01,1.2,1.2,1.1,1.1,299068.6,262696,9
TESS.N0000,2016-03-02,1.1,1.1,1.1,1.1,587231.7,533847,21
TESS.N0000,2016-03-03,1.1,1.1,1.0,1.0,150957.9,148598,13
TESS.N0000,2016-03-07,1.0,1.0,0.9,1.0,1405682.7,1408406,42
TESS.N0000,2016-03-08,0.9,1.0,0.8,0.9,1733173.5,1946901,55
TESS.N0000,2016-03-09,0.9,1.1,0.9,1.0,478370.2,478511,38
TESS.N0000,2016-03-10,1.1,1.2,1.1,1.1,316401.6,282422,35
TESS.N0000,2016-03-13,1.1,1.1,1.0,1.0,587098.4,533789,17
TESS.N0000,2016-03-14,1.0,1.1,1.0,1.0,65395.0,65025,9
TESS.N0000,2016-03-15,1.1,1.2,1.1,1.1,171428.6,155826,18
TESS.N0000,2016-03-16,1.1,1.2,1.1,1.1,70420.0,64000,4
TESS.N0000,2016-03-17,1.1,1.1,1.0,1.1,316801.0,288001,10
TESS.N0000,2016-03-20,1.1,1.2,1.1,1.1,112464.0,102238,32
TESS.N0000,2016-03-22,1.1,1.2,1.1,1.1,3706.4,3344,4
TESS.N0000,2016-03-23,1.1,1.2,1.1,1.1,111112.0,101010,9
TESS.N0000,2016-03-27,1.1,1.2,1.1,1.1,759122.4,690102,39
TESS.N0000,2016-03-28,1.1,1.1,1.0,1.1,28752.9,26349,10
TESS.N0000,2016-03-29,1.1,1.2,1.1,1.1,73701.2,67001,10
TESS.N0000,2016-03-30,1.1,1.1,1.0,1.1,35800.0,32750,14
TESS.N0000,2016-03-31,1.2,1.3,1.1,1.2,518369.9,431719,35
TESS.N0000,2016-04-03,1.2,1.2,1.2,1.2,29719.2,24766,5
TESS.N0000,2016-04-04,1.3,1.4,1.3,1.3,433053.5,333118,41
TESS.N0000,2016-04-05,1.3,1.3,1.2,1.2,73039.2,56284,9
TESS.N0000,2016-04-06,1.3,1.4,1.3,1.3,1081507.7,829721,39
TESS.N0000,2016-04-07,1.3,1.6,1.3,1.5,6445311.7,4360486,148
TESS.N0000,2016-04-10,1.5,1.6,1.4,1.6,775441.4,516914,44
TESS.N0000,2016-04-11,1.5,1.7,1.5,1.6,4080418.1,2554248,114
TESS.N0000,2016-04-14,1.6,1.7,1.6,1.6,163063.3,101902,20
TESS.N0000,2016-04-17,1.6,1.8,1.6,1.7,63155233.9,37187885,120
TESS.N0000,2016-04-18,1.8,1.9,1.8,1.8,7641038.2,4236036,213
TESS.N0000,2016-04-19,1.9,2.0,1.8,1.9,15844473.2,8275853,318
TESS.N0000,2016-04-21,2.0,2.0,1.8,1.9,27606420.5,14065916,304
TESS.N0000,2016-04-24,1.9,1.9,1.8,1.8,4978724.3,2725725,115
TESS.N0000,2016-04-25,1.9,1.9,1.7,1.8,2484088.6,1381214,42
TESS.N0000,2016-04-26,1.8,1.8,1.7,1.8,185446.3,104242,16
TESS.N0000,2016-04-27,1.8,1.8,1.7,1.7,110352.4,63926,10
TESS.N0000,2016-04-28,1.8,1.9,1.7,1.8,4090140.0,2272333,93
TESS.N0000,2016-05-02,1.8,1.8,1.7,1.8,2137243.0,1187761,61
TESS.N0000,2016-05-03,1.8,1.8,1.7,1.7,655078.6,366877,17
TESS.N0000,2016-05-04,1.8,1.8,1.7,1.7,265730.0,155850,9
TESS.N0000,2016-05-05,1.7,1.8,1.7,1.7,600736.2,345349,26
TESS.N0000,2016-05-08,1.8,1.8,1.7,1.7,316815.8,186346,7
TESS.N0000,2016-05-09,1.7,1.8,1.7,1.8,1090382.8,641378,28
TESS.N0000,2016-05-10,1.8,1.8,1.7,1.7,1299140.5,764118,35
TESS.N0000,2016-05-11,1.7,1.8,1.7,1.7,418026.5,245245,24
TESS.N0000,2016-05-12,1.7,1.7,1.7,1.7,170683.4,100402,11
TESS.N0000,2016-05-15,1.7,1.8,1.6,1.7,474654.9,279177,16
TESS.N0000,2016-05-16,1.7,1.8,1.6,1.7,203079.4,119907,15
TESS.N0000,2016-05-17,1.7,1.7,1.6,1.7,77591.2,45662,8
TESS.N0000,2016-05-18,1.6,1.7,1.6,1.6,303675.5,189751,17
TESS.N0000,2016-05-19,1.6,1.6,1.6,1.6,10409.6,6506,2
TESS.N0000,2016-05-23,1.6,1.7,1.6,1.7,30837.7,18861,7
TESS.N0000,2016-05-24,1.6,1.7,1.6,1.6,62682.0,38860,7
TESS.N0000,2016-05-25,1.6,1.7,1.6,1.6,66380.0,41425,13
TESS.N0000,2016-05-26,1.6,1.6,1.6,1.6,556209.6,347631,20
TESS.N0000,2016-05-29,1.6,1.6,1.6,1.6,548460.8,342788,11
TESS.N0000,2016-05-30,1.6,1.7,1.6,1.6,333352.8,208333,13
TESS.N0000,2016-05-31,1.6,1.6,1.5,1.6,422600.0,264900,13
TESS.N0000,2016-06-01,1.5,1.6,1.5,1.6,17650.5,11099,6
TESS.N0000,2016-06-02,1.6,1.7,1.5,1.6,165760.2,103850,20
TESS.N0000,2016-06-05,1.6,1.7,1.6,1.7,302863.8,189268,7
TESS.N0000,2016-06-06,1.7,1.7,1.5,1.6,422376.0,264047,24
TESS.N0000,2016-06-07,1.6,1.6,1.6,1.6,86080.0,53800,5
TESS.N0000,2016-06-08,1.6,1.7,1.6,1.6,166081.7,103801,16
TESS.N0000,2016-06-12,1.6,1.6,1.5,1.6,25617.5,16011,5
TESS.N0000,2016-06-13,1.6,1.7,1.5,1.5,135399.0,89556,16
TESS.N0000,2016-06-14,1.5,1.6,1.5,1.6,90164.3,56436,6
