ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TESS.X0000,2016-01-03,1.5,1.5,1.5,1.5,150.0,100,1
TESS.X0000,2016-01-04,1.5,1.5,1.5,1.5,426.0,284,2
TESS.X0000,2016-01-05,1.4,1.5,1.4,1.5,65900.0,47000,6
TESS.X0000,2016-01-06,1.4,1.5,1.4,1.5,141500.0,101000,12
TESS.X0000,2016-01-12,1.4,1.5,1.4,1.5,18409.4,13071,12
TESS.X0000,2016-01-13,1.4,1.4,1.4,1.4,17229.8,12307,10
TESS.X0000,2016-01-17,1.4,1.4,1.3,1.3,94459.9,72507,11
TESS.X0000,2016-01-18,1.3,1.4,1.2,1.3,355900.0,274500,20
TESS.X0000,2016-01-19,1.3,1.3,1.2,1.3,39815.8,30629,10
TESS.X0000,2016-01-20,1.2,1.4,1.2,1.4,12147.0,8990,7
TESS.X0000,2016-01-24,1.3,1.4,1.3,1.4,20400.0,15500,6
TESS.X0000,2016-01-25,1.3,1.5,1.3,1.4,703201.5,504501,10
TESS.X0000,2016-01-26,1.2,1.4,1.2,1.4,2101.2,1501,2
TESS.X0000,2016-01-27,1.3,1.4,1.3,1.3,33185.0,25450,9
TESS.X0000,2016-01-28,1.3,1.4,1.3,1.3,218780.0,167600,15
TESS.X0000,2016-01-31,1.3,1.4,1.3,1.4,16840.0,12800,4
TESS.X0000,2016-02-01,1.4,1.4,1.4,1.4,14140.0,10100,4
TESS.X0000,2016-02-02,1.3,1.4,1.3,1.4,4100.0,3000,2
TESS.X0000,2016-02-04,1.4,1.4,1.4,1.4,1.4,1,1
TESS.X0000,2016-02-07,1.3,1.4,1.3,1.4,4101.4,3001,3
TESS.X0000,2016-02-09,1.3,1.3,1.3,1.3,36687.3,28221,4
TESS.X0000,2016-02-10,1.3,1.4,1.3,1.4,30000.0,23000,4
TESS.X0000,2016-02-11,1.3,1.4,1.3,1.4,27740.0,21000,7
TESS.X0000,2016-02-17,1.2,1.3,1.2,1.3,9700.0,8000,2
TESS.X0000,2016-02-18,1.2,1.3,1.2,1.3,169301.3,141001,8
