ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TJL.N0000,2016-01-03,35.9,36.0,35.6,35.8,6493504.5,181203,85
TJL.N0000,2016-01-04,35.9,36.3,35.8,35.9,10029017.7,278708,105
TJL.N0000,2016-01-05,35.8,35.8,35.4,35.5,5530310.0,155657,121
TJL.N0000,2016-01-06,35.4,35.4,34.7,34.7,24636877.6,707290,223
TJL.N0000,2016-01-07,34.7,34.7,33.7,33.8,62982439.5,1858860,344
TJL.N0000,2016-01-10,34.0,34.0,33.2,33.3,8381737.7,250328,141
TJL.N0000,2016-01-11,33.5,33.5,32.0,32.1,17670737.0,544333,234
TJL.N0000,2016-01-12,32.2,33.6,32.2,33.2,9255305.5,279227,187
TJL.N0000,2016-01-13,33.2,33.2,32.5,32.6,9166005.8,280112,104
TJL.N0000,2016-01-17,33.0,33.0,30.9,31.0,20559753.8,657536,249
TJL.N0000,2016-01-18,31.0,31.0,28.8,29.8,53687930.1,1819007,550
TJL.N0000,2016-01-19,30.0,30.9,29.6,30.0,10677987.1,353056,196
TJL.N0000,2016-01-20,30.0,31.4,30.0,31.0,22318206.5,719006,256
TJL.N0000,2016-01-21,31.1,33.0,31.1,32.5,25932574.2,801291,377
TJL.N0000,2016-01-24,33.0,33.0,31.5,32.0,3251985.0,101942,63
TJL.N0000,2016-01-25,32.2,32.2,31.5,32.0,1894761.6,59316,63
TJL.N0000,2016-01-26,32.0,33.0,32.0,32.8,8440453.0,258647,110
TJL.N0000,2016-01-27,32.8,33.1,32.7,32.8,3752535.7,113872,105
TJL.N0000,2016-01-28,32.9,33.0,32.7,32.9,4091930.9,124521,69
TJL.N0000,2016-01-31,33.0,33.0,32.7,32.9,3924158.3,119776,56
TJL.N0000,2016-02-01,33.0,33.2,32.8,33.2,5239841.7,158441,103
TJL.N0000,2016-02-02,33.5,34.2,33.5,34.0,28799452.2,849225,368
TJL.N0000,2016-02-04,34.3,34.4,33.7,33.9,9377243.8,275876,118
TJL.N0000,2016-02-07,34.0,34.1,33.6,33.7,4512958.5,133055,71
TJL.N0000,2016-02-08,33.7,33.7,33.4,33.5,5634529.6,168052,71
TJL.N0000,2016-02-09,33.5,33.5,33.2,33.4,2921479.5,87679,64
TJL.N0000,2016-02-10,33.3,33.3,32.7,32.9,9773175.5,296463,137
TJL.N0000,2016-02-11,32.7,32.7,31.9,31.9,86845741.0,2690412,149
TJL.N0000,2016-02-14,32.0,32.0,31.3,31.5,10112026.7,320238,113
TJL.N0000,2016-02-15,31.5,31.5,31.0,31.3,6738031.1,215892,112
TJL.N0000,2016-02-16,31.4,31.5,30.5,30.6,21086526.5,678393,155
TJL.N0000,2016-02-17,30.9,31.0,30.4,30.8,2778876.1,90790,76
TJL.N0000,2016-02-18,30.7,31.7,30.7,31.4,1093337342.3,35479953,115
TJL.N0000,2016-02-22,31.7,31.7,30.5,30.6,2377282.6,76254,89
TJL.N0000,2016-02-23,31.0,31.4,30.7,30.9,5057424.4,163399,98
TJL.N0000,2016-02-24,31.2,31.2,30.6,30.9,24834403.7,806377,57
TJL.N0000,2016-02-25,30.9,30.9,30.7,30.9,960383.0,31142,31
TJL.N0000,2016-02-28,31.0,31.1,30.6,30.8,2632767.4,85346,59
TJL.N0000,2016-02-29,30.9,31.0,30.0,30.3,8008695.4,264712,91
TJL.N0000,2016-03-01,30.2,30.3,30.1,30.2,27690293.4,916904,108
TJL.N0000,2016-03-02,30.2,30.3,30.1,30.3,21270302.8,703780,90
TJL.N0000,2016-03-03,30.3,30.4,30.3,30.3,2434499.0,80255,56
TJL.N0000,2016-03-07,30.3,30.3,28.9,29.2,79507348.5,2725509,360
TJL.N0000,2016-03-08,29.0,29.6,27.5,29.0,94082058.2,3329055,447
TJL.N0000,2016-03-09,29.0,30.3,28.9,30.0,8415534.1,284565,121
TJL.N0000,2016-03-10,30.3,31.0,30.1,30.9,31504192.2,1027935,216
TJL.N0000,2016-03-13,30.5,31.0,29.8,30.0,4420680.1,147028,77
TJL.N0000,2016-03-14,30.0,30.0,29.6,30.0,1210642.4,40500,47
TJL.N0000,2016-03-15,30.2,31.0,30.0,30.6,1954939.5,64179,27
TJL.N0000,2016-03-16,30.5,31.5,30.5,31.0,10646253.4,343034,129
TJL.N0000,2016-03-17,30.9,30.9,30.2,30.5,2624829.0,86106,36
TJL.N0000,2016-03-20,30.2,30.9,30.1,30.9,3686292.1,120913,31
TJL.N0000,2016-03-22,30.9,31.2,30.6,31.0,8838797.0,285720,54
TJL.N0000,2016-03-23,31.0,31.5,31.0,31.3,6330898.2,202014,83
TJL.N0000,2016-03-27,31.4,31.4,30.7,31.0,12859198.6,415373,55
TJL.N0000,2016-03-28,31.4,31.4,30.5,30.7,3397426.5,111330,33
TJL.N0000,2016-03-29,31.0,31.4,30.8,31.3,2816405.8,90062,26
TJL.N0000,2016-03-30,31.4,31.9,31.3,31.7,21268938.3,671500,163
TJL.N0000,2016-03-31,31.9,32.8,31.8,32.5,22562715.8,704213,121
TJL.N0000,2016-04-03,32.6,33.0,32.5,32.9,21992763.0,669381,112
TJL.N0000,2016-04-04,33.0,33.5,33.0,33.3,28446233.1,853387,149
TJL.N0000,2016-04-05,33.4,33.4,32.6,33.0,3181101.8,96650,75
TJL.N0000,2016-04-06,33.0,33.3,32.6,33.1,3107623.7,94266,57
TJL.N0000,2016-04-07,33.3,33.5,33.0,33.5,17889213.3,535120,103
TJL.N0000,2016-04-10,33.5,33.8,33.4,33.4,3224596.9,95749,62
TJL.N0000,2016-04-11,33.8,33.8,33.4,33.5,3665187.8,109350,63
TJL.N0000,2016-04-14,33.8,34.0,33.5,33.9,49422622.4,1473434,92
TJL.N0000,2016-04-17,34.0,34.0,33.3,33.5,5073080.2,151354,86
TJL.N0000,2016-04-18,33.5,33.8,33.2,33.3,15455197.2,463514,73
TJL.N0000,2016-04-19,33.5,33.5,33.1,33.4,1131752.9,33909,47
TJL.N0000,2016-04-21,33.4,33.8,33.4,33.5,2417233.0,72148,34
TJL.N0000,2016-04-24,33.8,33.8,33.3,33.4,2016008.0,60205,42
TJL.N0000,2016-04-25,33.5,33.9,33.4,33.5,1496928.9,44731,43
TJL.N0000,2016-04-26,33.6,33.8,33.4,33.5,4198408.8,125206,80
TJL.N0000,2016-04-27,33.5,33.5,33.2,33.5,3549291.2,106117,64
TJL.N0000,2016-04-28,33.8,34.6,33.5,34.5,120997092.8,3587534,189
TJL.N0000,2016-05-02,34.2,35.0,34.2,34.6,12510091.9,360660,107
TJL.N0000,2016-05-03,35.0,35.2,34.8,35.0,94388035.1,2696722,273
TJL.N0000,2016-05-04,35.0,35.0,34.6,34.7,1253671.4,36176,33
TJL.N0000,2016-05-05,34.8,35.0,34.7,34.9,15130855.8,433440,67
TJL.N0000,2016-05-08,34.7,35.2,34.6,35.2,15461142.9,442697,92
TJL.N0000,2016-05-09,35.2,35.2,34.6,35.0,19090113.4,545766,75
TJL.N0000,2016-05-10,35.0,35.4,34.9,35.1,5314105.8,151691,62
TJL.N0000,2016-05-11,35.4,35.5,35.0,35.5,11223707.6,317211,97
TJL.N0000,2016-05-12,35.5,35.5,35.0,35.2,5237007.3,148637,54
TJL.N0000,2016-05-15,35.4,35.4,35.0,35.1,1709504.4,48693,37
TJL.N0000,2016-05-16,35.0,35.0,34.1,34.5,3428102.2,98783,66
TJL.N0000,2016-05-17,35.0,35.7,35.0,35.5,47420789.9,1335904,134
TJL.N0000,2016-05-18,35.5,35.5,35.2,35.2,31523432.2,894559,105
TJL.N0000,2016-05-19,35.0,35.3,34.7,34.9,3884889.8,111290,60
TJL.N0000,2016-05-23,35.0,35.0,34.5,34.5,3894046.8,112456,54
TJL.N0000,2016-05-24,34.5,34.7,34.5,34.6,5799595.2,167551,27
TJL.N0000,2016-05-25,34.6,34.9,34.6,34.9,1625663.7,46735,42
TJL.N0000,2016-05-26,34.8,35.0,34.7,34.8,2477473.3,70991,43
TJL.N0000,2016-05-29,35.0,35.0,34.6,34.7,1133258.3,32707,25
TJL.N0000,2016-05-30,34.6,34.6,34.2,34.3,45073143.5,1306748,116
TJL.N0000,2016-05-31,34.5,35.1,34.5,35.0,31725874.3,907074,83
TJL.N0000,2016-06-01,35.1,35.3,35.0,35.2,3813552.8,108493,45
TJL.N0000,2016-06-02,35.2,36.3,35.2,36.0,20783449.2,582117,165
TJL.N0000,2016-06-05,36.3,37.2,36.3,36.9,23376833.2,633763,222
TJL.N0000,2016-06-06,36.9,37.1,36.5,37.0,21118105.6,570842,108
TJL.N0000,2016-06-07,37.0,38.0,37.0,37.9,31562366.4,834403,301
TJL.N0000,2016-06-08,38.0,38.0,37.0,37.2,16626862.8,446970,131
TJL.N0000,2016-06-09,37.0,37.0,36.5,36.8,9955213.3,270297,120
TJL.N0000,2016-06-12,36.8,37.1,36.7,37.0,5936903.1,161026,74
TJL.N0000,2016-06-13,36.9,37.2,36.7,37.0,8714142.0,235495,111
TJL.N0000,2016-06-14,37.0,37.1,37.0,37.0,16265386.7,439604,99
TJL.N0000,2016-06-15,36.6,36.6,36.4,36.4,3199176.0,87723,58
TJL.N0000,2016-06-16,36.3,37.0,36.0,36.8,5548375.6,151749,82
TJL.N0000,2016-06-19,37.0,37.5,37.0,37.3,4841826.6,129521,69
TJL.N0000,2016-06-20,37.4,37.4,37.0,37.0,10254980.0,277125,65
TJL.N0000,2016-06-21,37.0,37.0,36.5,36.7,188890808.8,5337527,35
TJL.N0000,2016-06-22,36.6,36.9,36.6,36.8,722358.0,19715,16
TJL.N0000,2016-06-23,36.0,36.0,35.0,35.7,21152191.8,592856,195
TJL.N0000,2016-06-26,35.2,35.5,34.8,35.0,28772123.8,819225,303
TJL.N0000,2016-06-27,35.1,36.2,35.0,35.7,15288087.7,430911,122
TJL.N0000,2016-06-28,35.5,35.9,35.2,35.5,1819984.1,51268,45
TJL.N0000,2016-06-29,35.2,36.0,35.2,35.7,18161935.9,509567,64
TJL.N0000,2016-06-30,35.7,36.0,35.5,35.7,1091085.5,30411,27
TJL.N0000,2016-07-03,35.6,35.7,35.5,35.5,3342675.4,94150,39
TJL.N0000,2016-07-04,35.6,36.1,35.3,36.0,9061855.5,252841,63
TJL.N0000,2016-07-06,36.0,36.2,36.0,36.1,2477867.0,68650,42
TJL.N0000,2016-07-07,36.2,36.2,36.0,36.2,3879433.0,107432,50
TJL.N0000,2016-07-10,36.3,36.9,36.3,36.7,10638894.5,291305,104
TJL.N0000,2016-07-11,37.0,37.1,36.8,37.0,13738159.6,371491,112
TJL.N0000,2016-07-12,37.0,37.4,36.8,36.9,39895880.7,1078680,88
TJL.N0000,2016-07-13,37.0,37.0,36.7,36.8,3252266.2,88473,24
TJL.N0000,2016-07-14,37.0,37.0,36.7,36.9,28214185.2,764616,60
TJL.N0000,2016-07-17,37.0,37.0,36.8,36.8,2473748.6,67208,24
TJL.N0000,2016-07-19,36.9,37.1,36.9,37.0,5626762.2,152071,49
TJL.N0000,2016-07-20,37.1,37.9,37.1,37.5,19442533.8,519664,147
TJL.N0000,2016-07-21,37.9,38.0,37.5,37.5,3608188.8,95747,55
TJL.N0000,2016-07-24,37.7,37.7,37.5,37.5,13711513.8,365017,59
TJL.N0000,2016-07-25,37.7,37.8,37.5,37.5,8213864.5,218616,92
TJL.N0000,2016-07-26,37.5,37.6,37.0,37.1,2208602.6,59310,46
TJL.N0000,2016-07-27,37.2,37.5,37.2,37.5,3134678.1,83850,25
TJL.N0000,2016-07-28,37.8,38.0,37.5,37.8,88907235.5,2362422,107
TJL.N0000,2016-07-31,38.0,38.0,37.8,37.8,310844879.0,8180800,514
TJL.N0000,2016-08-01,37.8,38.5,37.8,38.4,80081647.1,2095112,169
TJL.N0000,2016-08-02,38.4,38.8,38.4,38.6,32317578.7,837314,150
