ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TPL.N0000,2016-01-03,33.3,33.3,33.2,31.6,1564.6,47,5
TPL.N0000,2016-01-04,31.8,32.0,31.8,32.0,18226.0,570,4
TPL.N0000,2016-01-05,33.0,33.0,31.9,31.9,8008.0,251,3
TPL.N0000,2016-01-06,33.2,33.2,31.6,31.8,31835.0,1001,6
TPL.N0000,2016-01-07,31.6,31.6,30.5,31.0,321688.1,10371,13
TPL.N0000,2016-01-10,30.2,30.4,30.2,30.2,78831.2,2606,9
TPL.N0000,2016-01-11,33.2,33.2,30.0,30.0,330239.6,11004,7
TPL.N0000,2016-01-13,30.1,30.1,30.0,30.0,231072.0,7700,5
TPL.N0000,2016-01-17,32.0,32.0,32.0,30.0,160.0,5,1
TPL.N0000,2016-01-18,29.6,31.9,29.5,29.5,73959.5,2505,3
TPL.N0000,2016-01-19,29.6,29.6,29.5,29.5,5318.0,180,3
TPL.N0000,2016-01-20,32.0,32.0,32.0,32.0,32000.0,1000,1
TPL.N0000,2016-01-21,30.5,30.5,30.5,32.0,152.5,5,1
TPL.N0000,2016-01-24,29.6,30.5,29.5,29.5,15209.0,515,3
TPL.N0000,2016-01-27,32.6,32.6,29.1,30.0,24160.0,800,4
TPL.N0000,2016-01-31,32.3,32.3,30.0,30.1,18530.8,616,6
TPL.N0000,2016-02-04,29.5,32.0,29.5,30.8,6182.0,201,4
TPL.N0000,2016-02-08,30.0,30.0,30.0,30.8,270.0,9,1
TPL.N0000,2016-02-09,30.0,30.1,30.0,30.0,10625.0,354,7
TPL.N0000,2016-02-10,29.4,29.4,29.4,30.0,58.8,2,2
TPL.N0000,2016-02-11,29.4,29.4,29.4,29.4,3116.4,106,3
TPL.N0000,2016-02-14,29.4,29.4,29.4,29.4,1087.8,37,5
TPL.N0000,2016-02-15,29.4,29.6,29.4,29.5,41115.5,1393,5
TPL.N0000,2016-02-16,29.7,30.5,29.4,30.5,30115.9,1001,7
TPL.N0000,2016-02-17,29.4,29.5,29.4,29.5,377570.0,12800,8
TPL.N0000,2016-02-18,29.4,30.7,29.4,29.4,23980.5,815,4
TPL.N0000,2016-02-24,30.0,30.0,30.0,30.0,15000.0,500,1
TPL.N0000,2016-02-25,29.6,29.6,29.6,30.0,118.4,4,1
TPL.N0000,2016-02-28,29.7,29.7,29.7,30.0,1366.2,46,22
TPL.N0000,2016-02-29,29.7,29.8,29.7,29.7,15654.8,527,2
