ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TRAN.N0000,2016-01-04,94.0,94.0,94.0,94.4,4700.0,50,1
TRAN.N0000,2016-01-10,93.5,93.5,93.5,93.5,93500.0,1000,3
TRAN.N0000,2016-01-13,80.2,80.2,80.2,93.5,721.8,9,1
TRAN.N0000,2016-01-19,91.8,91.8,91.8,93.5,91.8,1,1
TRAN.N0000,2016-01-26,76.1,89.0,76.1,88.9,125215.0,1420,5
TRAN.N0000,2016-02-01,87.9,87.9,87.9,88.9,87.9,1,1
TRAN.N0000,2016-02-10,85.0,85.0,85.0,85.0,42585.0,501,2
TRAN.N0000,2016-02-14,84.4,84.4,84.0,85.0,168.4,2,2
TRAN.N0000,2016-02-24,83.9,83.9,79.0,79.0,16051.7,203,2
TRAN.N0000,2016-02-25,80.0,80.0,80.0,79.0,160.0,2,1
TRAN.N0000,2016-02-28,80.0,80.0,79.5,79.0,239.5,3,3
TRAN.N0000,2016-03-03,79.9,79.9,79.9,79.0,79.9,1,1
TRAN.N0000,2016-03-10,79.9,80.0,79.9,79.9,160690.7,2010,3
TRAN.N0000,2016-03-15,80.0,80.0,80.0,79.9,80.0,1,1
TRAN.N0000,2016-03-23,80.0,80.0,80.0,79.9,800.0,10,1
TRAN.N0000,2016-03-29,80.0,80.0,80.0,79.9,5200.0,65,2
TRAN.N0000,2016-03-31,80.0,80.0,80.0,79.9,2080.0,26,3
TRAN.N0000,2016-04-04,79.9,80.0,79.0,80.0,416130.8,5203,6
TRAN.N0000,2016-04-05,84.0,84.0,84.0,84.0,21000.0,250,1
TRAN.N0000,2016-04-06,83.5,85.0,83.5,84.4,105225.0,1250,4
TRAN.N0000,2016-04-14,80.0,80.0,80.0,80.0,140000.0,1750,9
TRAN.N0000,2016-04-17,84.0,84.0,84.0,80.0,756.0,9,2
TRAN.N0000,2016-04-19,84.4,85.0,84.4,84.9,70693.5,835,5
TRAN.N0000,2016-04-25,85.0,87.0,85.0,86.9,43430.0,500,4
TRAN.N0000,2016-04-26,90.0,90.0,90.0,90.0,162000.0,1800,4
TRAN.N0000,2016-04-28,89.5,92.0,89.5,91.1,54687.5,600,3
TRAN.N0000,2016-05-02,91.0,95.0,91.0,92.1,111434.0,1210,4
TRAN.N0000,2016-05-03,94.5,95.0,94.5,94.6,28387.5,300,2
TRAN.N0000,2016-05-08,81.0,94.6,80.0,91.5,26313.2,300,5
TRAN.N0000,2016-05-09,85.0,94.4,85.0,94.4,63260.0,700,2
TRAN.N0000,2016-05-10,94.0,94.0,94.0,94.4,282.0,3,1
TRAN.N0000,2016-05-15,94.0,95.0,94.0,95.0,199153.0,2100,5
TRAN.N0000,2016-05-16,95.0,100.0,95.0,96.7,598782.0,6200,12
TRAN.N0000,2016-05-17,91.5,97.0,91.5,96.9,107967.0,1114,5
TRAN.N0000,2016-05-18,96.9,96.9,96.9,96.9,193.8,2,1
TRAN.N0000,2016-05-23,96.0,96.0,91.6,96.9,7964.8,85,5
TRAN.N0000,2016-05-24,96.0,96.0,96.0,96.9,960.0,10,1
TRAN.N0000,2016-05-31,95.0,95.0,95.0,96.9,190.0,2,2
TRAN.N0000,2016-06-01,93.9,93.9,91.0,93.0,234961.0,2536,11
TRAN.N0000,2016-06-02,91.0,91.0,91.0,93.0,91.0,1,1
TRAN.N0000,2016-06-05,90.0,90.0,90.0,93.0,3690.0,41,3
TRAN.N0000,2016-06-07,92.9,92.9,92.9,93.0,92.9,1,1
TRAN.N0000,2016-06-12,90.0,90.0,90.0,93.0,810.0,9,3
TRAN.N0000,2016-06-13,90.0,90.0,90.0,93.0,90.0,1,1
TRAN.N0000,2016-06-14,90.0,90.0,90.0,93.0,90.0,1,1
TRAN.N0000,2016-06-15,88.0,88.0,88.0,93.0,88.0,1,1
