ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TSML.N0000,2016-01-03,30.2,30.2,30.2,30.2,3775.0,125,1
TSML.N0000,2016-01-06,30.0,30.0,30.0,30.0,4500.0,150,2
TSML.N0000,2016-01-07,27.5,29.8,27.2,27.2,5471.3,201,4
TSML.N0000,2016-01-10,27.2,27.2,27.1,27.1,19786.0,730,4
TSML.N0000,2016-01-11,27.0,27.0,27.0,27.0,32778.0,1214,5
TSML.N0000,2016-01-13,26.6,26.6,26.6,27.0,1330.0,50,2
TSML.N0000,2016-01-17,26.9,27.0,26.9,27.0,24989.4,926,2
TSML.N0000,2016-01-18,25.1,25.1,25.1,25.1,25100.0,1000,3
TSML.N0000,2016-01-19,25.1,25.1,25.1,25.1,1255.0,50,3
TSML.N0000,2016-01-20,26.0,26.0,26.0,25.1,1300.0,50,1
TSML.N0000,2016-01-21,25.2,26.5,25.2,26.5,70300.0,2700,5
TSML.N0000,2016-01-24,28.9,28.9,28.9,28.9,11560.0,400,2
TSML.N0000,2016-01-26,26.0,26.0,25.4,25.9,3056.6,118,6
TSML.N0000,2016-01-28,29.2,29.2,29.2,25.9,204.4,7,1
TSML.N0000,2016-02-04,28.0,28.0,28.0,28.0,2800.0,100,2
TSML.N0000,2016-02-08,28.0,28.4,28.0,28.0,2828.4,101,2
TSML.N0000,2016-02-15,25.5,25.5,25.5,25.5,5100.0,200,1
TSML.N0000,2016-02-16,25.6,25.6,25.5,25.5,32919.5,1289,6
TSML.N0000,2016-02-17,25.3,25.3,25.0,25.1,30060.0,1200,3
TSML.N0000,2016-02-18,23.6,23.6,23.0,23.1,53240.5,2300,10
TSML.N0000,2016-02-22,23.0,23.0,23.0,23.0,57500.0,2500,2
TSML.N0000,2016-02-28,21.4,21.4,21.4,23.0,21.4,1,1
TSML.N0000,2016-03-01,21.4,21.4,21.4,21.4,8538.6,399,2
TSML.N0000,2016-03-07,21.3,21.3,19.0,19.0,85476.0,4433,17
TSML.N0000,2016-03-08,18.1,18.1,18.0,18.0,64803.7,3600,5
TSML.N0000,2016-03-10,22.5,22.5,22.5,22.5,5647.5,251,4
TSML.N0000,2016-03-15,19.5,24.0,19.5,19.5,13284.0,681,4
TSML.N0000,2016-03-22,20.0,20.0,20.0,19.5,20.0,1,1
TSML.N0000,2016-03-27,20.0,20.0,20.0,19.5,1400.0,70,3
TSML.N0000,2016-04-06,20.0,22.5,20.0,20.3,9346.1,461,3
TSML.N0000,2016-04-07,22.9,25.0,22.4,23.7,19844.9,830,16
TSML.N0000,2016-04-11,24.8,24.9,24.8,23.7,896.0,36,2
