ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
UBC.N0000,2016-01-03,20.7,20.8,20.3,20.4,453879.0,22210,24
UBC.N0000,2016-01-04,20.2,20.5,20.2,20.3,208290.0,10275,17
UBC.N0000,2016-01-05,20.2,20.3,19.9,20.0,2654721.0,132551,93
UBC.N0000,2016-01-06,20.0,20.0,19.8,19.8,1027730.0,51510,38
UBC.N0000,2016-01-07,19.8,19.9,19.7,19.8,385976.7,19469,38
UBC.N0000,2016-01-10,19.7,19.7,19.3,19.5,1612442.6,82707,48
UBC.N0000,2016-01-11,19.5,19.5,18.5,18.7,5728955.0,305951,109
UBC.N0000,2016-01-12,18.7,19.3,18.5,19.1,2147574.5,113230,67
UBC.N0000,2016-01-13,19.1,19.2,18.7,18.8,1871365.8,98792,45
UBC.N0000,2016-01-17,18.7,18.7,17.9,18.0,1285315.8,70846,70
UBC.N0000,2016-01-18,18.5,18.5,17.7,18.0,9370668.4,520735,114
UBC.N0000,2016-01-19,18.0,18.0,17.5,17.8,1397067.8,78586,53
UBC.N0000,2016-01-20,17.8,18.3,17.8,18.0,14894506.0,827347,121
UBC.N0000,2016-01-21,18.1,18.5,17.9,18.2,10378957.0,572292,128
UBC.N0000,2016-01-24,18.4,18.6,17.8,18.1,550142.5,30455,41
UBC.N0000,2016-01-25,18.3,18.3,17.8,17.9,2291324.1,127843,48
UBC.N0000,2016-01-26,17.7,18.0,17.7,17.8,3198160.2,178709,19
UBC.N0000,2016-01-27,17.9,17.9,17.4,17.5,5906087.9,337222,100
UBC.N0000,2016-01-28,17.5,17.8,17.1,17.3,10283952.8,594809,131
UBC.N0000,2016-01-31,17.4,17.5,17.3,17.4,1118235.9,63973,39
UBC.N0000,2016-02-01,17.4,17.7,17.4,17.5,4625565.4,263988,105
UBC.N0000,2016-02-02,17.5,17.7,17.5,17.5,2319603.4,132362,42
UBC.N0000,2016-02-04,17.6,18.0,17.6,17.8,2689899.2,150684,71
UBC.N0000,2016-02-07,17.7,17.9,17.4,17.6,3540487.5,202443,61
UBC.N0000,2016-02-08,17.5,17.7,17.4,17.5,1385434.7,79180,33
UBC.N0000,2016-02-09,17.6,17.6,17.5,17.6,491199.2,28011,20
UBC.N0000,2016-02-10,17.5,17.5,17.3,17.4,1305789.8,74890,27
UBC.N0000,2016-02-11,17.3,17.4,17.3,17.3,2854982.2,165014,27
UBC.N0000,2016-02-14,17.4,17.4,17.1,17.2,765802.9,44473,31
UBC.N0000,2016-02-15,17.2,17.3,17.1,17.1,1043511.3,60887,34
UBC.N0000,2016-02-16,17.2,17.3,16.9,17.0,3025412.4,177601,68
UBC.N0000,2016-02-17,17.1,17.1,16.9,17.0,2822785.7,165980,37
UBC.N0000,2016-02-18,17.3,17.3,16.9,17.0,640590.6,37682,37
UBC.N0000,2016-02-22,16.8,17.3,16.8,17.0,659147.5,39205,19
UBC.N0000,2016-02-23,16.7,17.1,16.6,16.7,2864329.0,169248,60
UBC.N0000,2016-02-24,16.8,17.0,16.7,16.8,1740592.2,103604,50
UBC.N0000,2016-02-25,16.9,16.9,16.7,16.7,1267297.6,75457,29
UBC.N0000,2016-02-28,17.0,17.0,16.7,16.8,404406.0,24070,19
UBC.N0000,2016-02-29,16.8,16.8,16.4,16.4,3729386.0,225429,63
UBC.N0000,2016-03-01,16.3,16.4,16.0,16.0,1948889.7,120968,48
UBC.N0000,2016-03-02,16.0,16.3,15.6,15.8,2668023.6,169171,39
UBC.N0000,2016-03-03,15.6,16.0,15.6,15.9,963761.5,60561,34
UBC.N0000,2016-03-07,15.8,15.8,15.3,15.4,1818533.6,116931,51
UBC.N0000,2016-03-08,15.3,15.3,14.2,14.8,3787930.6,258427,97
