ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
UDPL.N0000,2016-01-03,27.9,27.9,27.5,27.9,526.5,19,2
UDPL.N0000,2016-01-05,27.8,27.8,26.0,27.9,1846.0,70,6
UDPL.N0000,2016-01-06,27.5,27.5,26.0,26.0,6295.0,242,2
UDPL.N0000,2016-01-07,26.0,26.0,26.0,26.0,1560.0,60,1
UDPL.N0000,2016-01-11,24.5,24.5,23.1,23.3,2566.0,110,4
UDPL.N0000,2016-01-17,25.0,25.0,18.0,18.1,59298.0,3176,16
UDPL.N0000,2016-01-19,20.0,20.0,19.0,19.3,35745.0,1855,2
UDPL.N0000,2016-01-20,19.1,19.1,19.0,19.0,3328.0,175,2
UDPL.N0000,2016-01-21,20.0,23.5,20.0,22.0,12974.0,599,9
UDPL.N0000,2016-01-25,21.5,27.0,21.5,22.0,26278.5,1201,5
UDPL.N0000,2016-01-26,25.9,27.0,25.9,26.1,2978.0,114,3
UDPL.N0000,2016-01-31,26.9,26.9,26.9,26.1,26.9,1,1
UDPL.N0000,2016-02-01,25.0,25.0,24.5,24.5,5148.0,208,2
UDPL.N0000,2016-02-02,25.0,25.0,25.0,24.5,100.0,4,1
UDPL.N0000,2016-02-04,26.4,26.4,26.4,24.5,26.4,1,1
UDPL.N0000,2016-02-08,23.1,23.1,23.1,23.1,4620.0,200,1
UDPL.N0000,2016-02-09,26.5,26.5,25.9,23.1,572.4,22,3
UDPL.N0000,2016-02-10,26.5,26.5,26.5,23.1,26.5,1,1
UDPL.N0000,2016-02-11,23.6,23.6,22.0,23.2,7555.2,325,5
UDPL.N0000,2016-02-14,23.5,26.4,23.5,24.6,15488.0,630,8
UDPL.N0000,2016-02-15,22.2,24.3,22.1,22.1,3587.5,162,6
UDPL.N0000,2016-02-16,24.9,24.9,24.9,22.1,24.9,1,1
UDPL.N0000,2016-02-17,22.1,25.0,22.1,22.1,22245.0,1006,5
UDPL.N0000,2016-02-18,25.0,25.0,25.0,22.1,25.0,1,1
UDPL.N0000,2016-02-22,24.9,26.4,24.8,24.9,4936.9,198,7
UDPL.N0000,2016-02-23,23.9,23.9,23.9,24.9,47.8,2,2
UDPL.N0000,2016-02-28,23.9,23.9,23.9,23.9,4134.7,173,2
UDPL.N0000,2016-03-01,22.6,22.6,21.0,22.4,39029.5,1740,7
UDPL.N0000,2016-03-07,20.0,20.0,20.0,22.4,120.0,6,1
UDPL.N0000,2016-03-08,20.1,20.4,20.1,20.3,6803.1,335,4
UDPL.N0000,2016-03-09,20.1,20.1,19.0,20.0,4184.9,209,5
UDPL.N0000,2016-03-10,20.3,20.3,19.0,19.0,5421.5,285,3
UDPL.N0000,2016-03-15,20.0,20.1,20.0,20.1,22060.0,1100,2
UDPL.N0000,2016-03-17,20.0,20.0,20.0,20.1,100.0,5,1
UDPL.N0000,2016-03-23,24.9,24.9,22.5,20.1,587.4,26,3
UDPL.N0000,2016-03-27,24.5,24.5,20.0,20.1,22990.0,1145,6
UDPL.N0000,2016-03-28,20.0,20.0,20.0,20.0,3500.0,175,2
UDPL.N0000,2016-03-30,20.0,20.0,20.0,20.0,12500.0,625,1
UDPL.N0000,2016-04-03,19.8,19.8,15.5,15.6,673307.7,43192,8
UDPL.N0000,2016-04-04,16.7,19.5,16.7,19.5,7190.0,400,4
UDPL.N0000,2016-04-05,23.0,23.0,22.7,22.7,2293.0,101,3
UDPL.N0000,2016-04-06,22.6,24.0,22.0,23.4,26857.0,1150,14
UDPL.N0000,2016-04-07,24.0,24.0,21.1,23.7,22620.2,960,14
UDPL.N0000,2016-04-10,23.9,23.9,23.9,23.7,119.5,5,1
UDPL.N0000,2016-04-11,23.8,25.7,23.5,25.4,1045593.6,41264,53
UDPL.N0000,2016-04-14,25.9,25.9,25.9,25.9,2590.0,100,1
UDPL.N0000,2016-04-18,23.5,23.6,23.5,23.5,12323.9,524,8
UDPL.N0000,2016-04-19,27.3,27.3,24.0,26.4,3690.0,140,2
UDPL.N0000,2016-04-24,24.2,25.4,24.2,24.4,15245.0,625,5
UDPL.N0000,2016-04-25,24.3,24.3,24.3,24.3,2916.0,120,1
UDPL.N0000,2016-04-26,26.2,26.2,26.2,26.2,2882.0,110,2
UDPL.N0000,2016-04-27,24.1,24.1,24.1,24.1,12050.0,500,1
UDPL.N0000,2016-04-28,24.0,24.0,24.0,24.0,10488.0,437,6
UDPL.N0000,2016-05-02,24.1,26.1,24.1,24.3,5360.1,221,6
UDPL.N0000,2016-05-03,24.1,24.1,22.7,23.5,4105.0,175,4
UDPL.N0000,2016-05-04,24.1,24.1,22.8,23.5,1079.8,46,5
UDPL.N0000,2016-05-05,22.7,23.9,22.2,22.5,11922.0,530,7
UDPL.N0000,2016-05-08,22.3,23.9,22.3,23.6,4734.6,204,15
UDPL.N0000,2016-05-10,23.9,23.9,23.9,23.6,71.7,3,2
UDPL.N0000,2016-05-11,23.6,23.6,22.2,22.3,89782.2,4015,15
UDPL.N0000,2016-05-12,23.0,23.0,21.0,21.2,2421.9,114,7
UDPL.N0000,2016-05-15,23.0,23.8,23.0,23.0,25599.8,1113,3
UDPL.N0000,2016-05-16,22.0,24.0,22.0,24.0,53252.0,2296,8
UDPL.N0000,2016-05-17,22.1,23.5,21.7,22.1,238546.0,10763,35
UDPL.N0000,2016-05-18,21.8,23.0,21.8,22.1,264.0,12,2
UDPL.N0000,2016-05-19,21.8,23.4,21.6,22.8,22059.0,1000,8
UDPL.N0000,2016-05-23,22.5,22.5,22.5,22.8,202.5,9,1
UDPL.N0000,2016-05-25,22.4,22.4,22.4,22.8,1120.0,50,1
UDPL.N0000,2016-05-26,22.4,22.4,21.5,21.6,21957.5,1015,7
UDPL.N0000,2016-05-30,22.9,22.9,20.1,21.1,106722.9,5051,7
UDPL.N0000,2016-05-31,20.1,20.1,19.1,19.9,19880.0,1000,4
UDPL.N0000,2016-06-05,19.6,19.6,19.5,19.6,215450.0,11000,6
UDPL.N0000,2016-06-06,19.2,19.2,19.2,19.2,2841.6,148,5
