ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
VLL.N0000,2016-01-03,6.5,6.5,6.5,6.5,208045.5,32007,5
VLL.N0000,2016-01-04,6.4,6.4,6.4,6.4,319654.4,49946,4
VLL.N0000,2016-01-05,6.4,6.5,6.4,6.4,19850.0,3100,5
VLL.N0000,2016-01-06,6.4,6.4,6.4,6.4,3050073.6,476574,10
VLL.N0000,2016-01-07,6.4,6.4,6.4,6.4,44864.0,7010,3
VLL.N0000,2016-01-10,6.4,6.4,6.3,6.4,143841.4,22476,7
VLL.N0000,2016-01-11,6.3,6.3,6.0,6.0,610139.7,100994,22
VLL.N0000,2016-01-12,6.3,6.3,6.2,6.2,6614.4,1058,4
VLL.N0000,2016-01-13,6.3,6.3,6.0,6.0,169305.5,27985,12
VLL.N0000,2016-01-17,6.0,6.0,5.8,5.9,385860.0,65230,25
VLL.N0000,2016-01-18,5.9,5.9,5.8,5.8,184108.6,31467,5
VLL.N0000,2016-01-19,5.9,5.9,5.8,5.9,153224.3,26377,10
VLL.N0000,2016-01-20,5.8,5.9,5.8,5.8,167461.8,28871,15
VLL.N0000,2016-01-21,6.0,6.1,6.0,6.1,83640.0,13923,5
VLL.N0000,2016-01-24,6.0,6.0,5.8,5.8,93283.1,15901,6
VLL.N0000,2016-01-25,5.8,5.8,5.8,5.8,5800.0,1000,1
VLL.N0000,2016-01-26,6.1,6.1,6.1,6.1,4758.0,780,1
VLL.N0000,2016-01-27,6.1,6.1,6.0,6.0,13166.0,2161,3
VLL.N0000,2016-01-28,6.0,6.0,6.0,6.0,14358.0,2393,2
VLL.N0000,2016-01-31,6.0,6.1,5.9,5.9,6666256.0,1111076,17
VLL.N0000,2016-02-01,6.1,6.1,6.0,5.9,246.1,41,2
VLL.N0000,2016-02-02,6.0,6.0,6.0,6.0,24000.0,4000,1
VLL.N0000,2016-02-04,6.1,6.1,5.9,5.9,2382.5,401,2
VLL.N0000,2016-02-07,6.0,6.0,5.9,6.0,279312.0,46677,10
VLL.N0000,2016-02-09,6.0,6.0,6.0,6.0,36000.0,6000,11
VLL.N0000,2016-02-10,6.1,6.2,6.1,6.2,2172744.0,350540,6
VLL.N0000,2016-02-11,6.1,6.1,6.0,6.1,37261.0,6110,4
VLL.N0000,2016-02-14,6.1,6.2,6.1,6.2,280973.0,45429,7
VLL.N0000,2016-02-16,6.1,6.1,6.0,6.0,600500.0,100000,7
VLL.N0000,2016-02-17,6.0,6.0,6.0,6.0,30.0,5,1
VLL.N0000,2016-02-18,6.1,6.2,6.1,6.2,13326907.8,2184179,19
VLL.N0000,2016-02-22,6.1,6.2,6.1,6.2,2317.5,375,2
VLL.N0000,2016-02-23,6.1,6.2,6.1,6.2,673648.7,110102,6
VLL.N0000,2016-02-24,6.2,6.3,6.2,6.2,311556.7,50251,13
VLL.N0000,2016-02-25,6.2,6.3,6.2,6.2,1851264.3,298591,17
VLL.N0000,2016-02-28,6.2,6.2,6.2,6.2,73873.0,11915,4
VLL.N0000,2016-02-29,6.1,6.1,6.1,6.1,169275.0,27750,4
VLL.N0000,2016-03-01,6.2,6.2,6.1,6.2,775600.0,125500,8
VLL.N0000,2016-03-02,6.2,6.2,6.1,6.1,252518.0,41390,2
VLL.N0000,2016-03-07,6.1,6.1,6.0,6.0,291100.0,48500,6
VLL.N0000,2016-03-08,5.9,5.9,5.9,5.9,94695.0,16050,5
VLL.N0000,2016-03-09,6.0,6.0,6.0,6.0,87168.0,14528,8
VLL.N0000,2016-03-10,6.0,6.0,6.0,6.0,210000.0,35000,2
VLL.N0000,2016-03-13,6.0,6.0,6.0,6.0,855192.0,142532,8
VLL.N0000,2016-03-14,6.0,6.1,6.0,6.0,138558.7,23093,7
VLL.N0000,2016-03-15,6.0,6.0,6.0,6.0,51001038.0,8500173,2
VLL.N0000,2016-03-16,6.1,6.1,6.0,6.1,393965.0,65650,9
VLL.N0000,2016-03-17,6.0,6.0,6.0,6.0,3000.0,500,2
VLL.N0000,2016-03-20,6.1,6.1,6.0,6.1,1836.0,301,2
VLL.N0000,2016-03-22,6.0,6.1,6.0,6.0,6012.2,1002,2
VLL.N0000,2016-03-23,6.1,6.1,6.0,6.0,911161.0,151860,9
VLL.N0000,2016-03-27,6.1,6.1,6.1,6.1,610.0,100,1
VLL.N0000,2016-03-28,6.0,6.0,6.0,6.0,781350.0,130225,6
VLL.N0000,2016-03-29,6.1,6.1,6.0,6.0,106153.0,17583,5
VLL.N0000,2016-03-30,6.1,6.1,6.0,6.0,19261.0,3210,4
VLL.N0000,2016-03-31,6.0,6.1,6.0,6.0,292490.0,48740,5
VLL.N0000,2016-04-03,6.2,6.2,6.0,6.1,297801.1,48851,7
VLL.N0000,2016-04-04,6.0,6.0,6.0,6.0,39600.0,6600,8
VLL.N0000,2016-04-05,6.0,6.0,5.9,5.9,154977.1,25869,9
VLL.N0000,2016-04-06,6.0,6.0,6.0,6.0,157800.0,26300,7
VLL.N0000,2016-04-07,6.0,6.2,6.0,6.1,2029650.0,338150,10
VLL.N0000,2016-04-10,6.0,6.0,6.0,6.0,18528.0,3088,6
VLL.N0000,2016-04-11,5.9,6.2,5.9,5.9,17822.0,3020,4
VLL.N0000,2016-04-17,6.1,6.1,6.1,6.1,44530.0,7300,6
VLL.N0000,2016-04-18,6.2,6.2,6.1,6.1,12515.0,2050,3
VLL.N0000,2016-04-19,6.0,6.1,6.0,6.1,8673.0,1430,7
VLL.N0000,2016-04-21,6.0,6.1,6.0,6.0,95734.6,15876,8
VLL.N0000,2016-04-24,5.9,5.9,5.9,5.9,113870.0,19300,5
VLL.N0000,2016-04-25,6.0,6.1,6.0,6.0,1531566.1,255236,11
VLL.N0000,2016-04-26,6.1,6.1,6.0,6.0,20715.4,3414,11
VLL.N0000,2016-04-27,6.1,6.1,5.9,5.9,5918.3,1003,4
VLL.N0000,2016-04-28,6.1,6.1,6.1,6.1,1604.3,263,6
VLL.N0000,2016-05-02,6.0,6.1,6.0,6.0,381012.1,63502,12
VLL.N0000,2016-05-03,6.0,6.0,5.9,6.0,354070.8,59012,10
VLL.N0000,2016-05-04,6.0,6.0,5.9,5.9,410738.5,69615,10
VLL.N0000,2016-05-05,5.9,5.9,5.9,5.9,40645.1,6889,2
VLL.N0000,2016-05-08,6.0,6.0,5.9,5.9,11952.8,2019,9
VLL.N0000,2016-05-09,6.0,6.0,5.9,5.9,361252.0,61042,18
VLL.N0000,2016-05-10,6.0,6.0,6.0,6.0,6950328.0,1158388,25
VLL.N0000,2016-05-11,6.0,6.0,5.9,6.0,6089683.8,1015004,29
VLL.N0000,2016-05-12,6.0,6.0,6.0,6.0,930.0,155,1
VLL.N0000,2016-05-15,6.1,6.1,6.0,6.0,19141.0,3190,6
VLL.N0000,2016-05-16,6.0,6.0,6.0,6.0,18000.0,3000,3
VLL.N0000,2016-05-17,6.0,6.0,6.0,6.0,6072.0,1012,2
VLL.N0000,2016-05-18,6.1,6.2,6.0,6.1,40490.0,6597,6
VLL.N0000,2016-05-19,6.0,6.1,6.0,6.1,15050.0,2500,6
VLL.N0000,2016-05-24,6.0,6.1,6.0,6.0,13261.0,2210,3
VLL.N0000,2016-05-25,6.0,6.0,6.0,6.0,42000.0,7000,2
VLL.N0000,2016-05-26,6.0,6.0,6.0,6.0,600.0,100,1
VLL.N0000,2016-05-29,6.0,6.0,6.0,6.0,72.0,12,1
VLL.N0000,2016-05-31,6.0,6.1,6.0,6.0,156761.0,26110,8
VLL.N0000,2016-06-01,6.0,6.0,6.0,6.0,27456.0,4576,3
VLL.N0000,2016-06-02,6.0,6.0,6.0,6.0,36000.0,6000,3
VLL.N0000,2016-06-05,6.1,6.1,6.1,6.1,6100.0,1000,1
VLL.N0000,2016-06-06,6.0,6.0,6.0,6.1,108.0,18,1
VLL.N0000,2016-06-07,6.0,6.0,6.0,6.0,900.0,150,1
VLL.N0000,2016-06-08,6.0,6.0,6.0,6.0,3552.0,592,9
VLL.N0000,2016-06-12,6.0,6.0,6.0,6.0,3228.0,538,1
VLL.N0000,2016-06-14,6.0,6.0,6.0,6.0,683334.0,113889,5
VLL.N0000,2016-06-15,5.9,5.9,5.9,5.9,18585.0,3150,2
VLL.N0000,2016-06-16,6.0,6.0,5.9,5.9,25746.0,4354,9
VLL.N0000,2016-06-19,5.9,6.0,5.9,6.0,16275.0,2750,3
VLL.N0000,2016-06-20,5.9,6.0,5.9,6.0,13796.5,2335,2
VLL.N0000,2016-06-22,5.9,5.9,5.9,6.0,5.9,1,1
VLL.N0000,2016-06-23,5.9,5.9,5.8,5.9,41000.0,7000,6
VLL.N0000,2016-06-26,5.9,5.9,5.9,5.9,41300.0,7000,2
VLL.N0000,2016-06-27,5.9,5.9,5.8,5.8,210919.0,36361,5
VLL.N0000,2016-06-28,5.8,5.8,5.8,5.8,62263.0,10735,4
VLL.N0000,2016-06-29,5.8,5.8,5.7,5.8,29149.6,5026,8
VLL.N0000,2016-06-30,5.7,5.8,5.7,5.8,48677.4,8403,7
VLL.N0000,2016-07-04,6.0,6.0,6.0,6.0,660.0,110,3
VLL.N0000,2016-07-06,5.8,5.8,5.8,6.0,5.8,1,1
VLL.N0000,2016-07-07,5.8,6.0,5.8,5.8,87060.0,15010,8
VLL.N0000,2016-07-10,6.0,6.0,5.8,5.8,3105.6,532,5
VLL.N0000,2016-07-11,6.0,6.0,5.8,5.8,80750.0,13520,6
VLL.N0000,2016-07-12,6.0,6.0,6.0,6.0,121740.0,20290,5
VLL.N0000,2016-07-13,6.0,6.0,5.9,5.9,33070.0,5605,7
VLL.N0000,2016-07-14,6.0,6.0,5.9,5.9,22057.5,3735,8
VLL.N0000,2016-07-17,6.0,6.0,5.8,5.8,514090.4,87697,17
VLL.N0000,2016-07-19,5.8,5.9,5.8,5.8,34894.6,5930,8
VLL.N0000,2016-07-20,5.9,5.9,5.8,5.8,113531.1,19445,8
VLL.N0000,2016-07-21,5.9,5.9,5.9,5.9,151824.7,25733,5
VLL.N0000,2016-07-24,5.9,5.9,5.9,5.9,2212.5,375,3
VLL.N0000,2016-07-25,5.9,5.9,5.9,5.9,11829.5,2005,2
VLL.N0000,2016-07-26,5.8,5.8,5.8,5.8,4060.0,700,1
VLL.N0000,2016-07-27,5.9,5.9,5.9,5.9,741217.0,125630,10
VLL.N0000,2016-07-28,5.9,5.9,5.9,5.9,5900.0,1000,1
VLL.N0000,2016-07-31,5.9,6.0,5.8,5.9,177023.6,30004,4
VLL.N0000,2016-08-01,6.0,6.0,5.8,5.9,6427.9,1088,6
VLL.N0000,2016-08-02,6.0,6.0,5.9,5.9,6500.0,1100,3
VLL.N0000,2016-08-04,6.0,6.0,5.9,5.9,15113.7,2543,6
VLL.N0000,2016-08-07,6.0,6.0,5.9,5.9,44700.1,7575,13
VLL.N0000,2016-08-09,5.9,6.0,5.9,5.9,125740.0,21310,8
VLL.N0000,2016-08-10,5.8,5.8,5.8,5.8,26100.0,4500,1
VLL.N0000,2016-08-11,5.8,5.9,5.8,5.8,875.0,150,3
VLL.N0000,2016-08-15,6.0,6.0,6.0,5.8,300.0,50,1
VLL.N0000,2016-08-17,6.0,6.0,5.9,5.9,1345.3,228,6
VLL.N0000,2016-08-18,5.9,6.0,5.9,6.0,7093664.2,1182477,11
VLL.N0000,2016-08-21,5.9,5.9,5.9,5.9,4838.0,820,2
VLL.N0000,2016-08-22,5.9,5.9,5.9,5.9,5687.6,964,3
VLL.N0000,2016-08-23,5.9,5.9,5.8,5.8,15214.1,2599,5
VLL.N0000,2016-08-24,5.8,5.8,5.8,5.8,40687.0,7015,8
VLL.N0000,2016-08-25,5.8,5.8,5.8,5.8,43935.0,7575,7
VLL.N0000,2016-08-28,5.8,5.8,5.8,5.8,81223.2,14004,6
VLL.N0000,2016-08-29,5.9,5.9,5.9,5.8,177.0,30,1
VLL.N0000,2016-08-30,5.9,5.9,5.9,5.9,4784.9,811,4
VLL.N0000,2016-09-01,5.8,5.8,5.8,5.8,8990.0,1550,2
VLL.N0000,2016-09-04,5.8,5.8,5.8,5.8,29005.8,5001,6
