ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
VPEL.N0000,2016-01-03,9.0,9.0,8.9,9.0,455058.1,51020,26
VPEL.N0000,2016-01-04,8.9,9.0,8.9,9.0,1413526.0,158540,17
VPEL.N0000,2016-01-05,8.9,8.9,8.9,8.9,19953.8,2242,6
VPEL.N0000,2016-01-06,8.9,9.0,8.9,8.9,1317209.0,148001,16
VPEL.N0000,2016-01-07,8.9,9.0,8.8,8.9,7989720.1,897759,36
VPEL.N0000,2016-01-10,8.9,8.9,8.7,8.8,3602674.7,409613,40
VPEL.N0000,2016-01-11,8.8,8.8,8.7,8.8,582321.8,66691,19
VPEL.N0000,2016-01-12,8.7,8.9,8.7,8.9,2677534.7,306817,25
VPEL.N0000,2016-01-13,8.8,8.8,8.7,8.8,1078480.0,122600,15
VPEL.N0000,2016-01-17,8.9,8.9,8.5,8.5,7561112.3,876707,100
VPEL.N0000,2016-01-18,8.5,8.6,8.5,8.6,7928410.5,931893,61
VPEL.N0000,2016-01-19,8.6,8.6,8.4,8.5,2770961.2,325709,51
VPEL.N0000,2016-01-20,8.6,8.6,8.5,8.5,1543884.9,181607,43
VPEL.N0000,2016-01-21,8.6,8.6,8.5,8.5,44530.4,5214,6
VPEL.N0000,2016-01-24,8.5,8.6,8.5,8.5,172650.0,20300,11
VPEL.N0000,2016-01-25,8.5,9.0,8.5,9.0,5830739.4,650949,28
VPEL.N0000,2016-01-26,9.0,9.0,8.8,8.9,10075884.0,1120076,28
VPEL.N0000,2016-01-27,9.0,9.0,9.0,9.0,7378659.0,819851,28
VPEL.N0000,2016-01-28,9.0,9.1,9.0,9.1,1600618.3,176341,31
VPEL.N0000,2016-01-31,9.1,9.1,9.0,9.0,1365509.1,151501,30
VPEL.N0000,2016-02-01,9.0,9.1,9.0,9.1,1238578.1,137057,41
VPEL.N0000,2016-02-02,9.1,9.1,9.0,9.0,1165630.0,129400,25
VPEL.N0000,2016-02-04,8.9,9.0,8.9,9.0,9152724.0,1016971,51
VPEL.N0000,2016-02-07,9.0,9.0,8.9,9.0,107517.9,12052,9
VPEL.N0000,2016-02-08,8.9,9.0,8.9,8.9,282749.2,31728,27
VPEL.N0000,2016-02-09,9.0,9.0,8.9,8.9,289672.6,32534,12
VPEL.N0000,2016-02-10,9.0,9.0,8.8,8.8,388085.1,43461,17
VPEL.N0000,2016-02-11,8.8,8.9,8.8,8.9,1331870.0,149900,25
VPEL.N0000,2016-02-14,8.8,9.0,8.8,8.8,1168.0,132,5
VPEL.N0000,2016-02-15,9.0,9.2,9.0,9.2,6250880.5,682933,104
VPEL.N0000,2016-02-16,9.2,9.2,9.1,9.1,7937258.9,871629,49
VPEL.N0000,2016-02-17,9.2,9.2,9.1,9.1,1083101.2,119011,11
VPEL.N0000,2016-02-18,9.2,9.2,9.0,9.0,399044.1,44160,15
VPEL.N0000,2016-02-22,9.1,9.1,8.9,9.0,5204967.5,578307,56
VPEL.N0000,2016-02-23,9.0,9.0,8.8,8.9,6330086.1,710154,95
VPEL.N0000,2016-02-24,8.6,8.6,8.3,8.3,1620533.0,192802,68
VPEL.N0000,2016-02-25,8.3,8.4,8.3,8.3,901952.2,108529,18
VPEL.N0000,2016-02-28,8.3,8.3,8.2,8.3,606720.0,73100,17
VPEL.N0000,2016-02-29,8.2,8.3,8.1,8.2,1256441.4,153116,36
VPEL.N0000,2016-03-01,8.1,8.1,8.0,8.0,1953051.1,242710,52
VPEL.N0000,2016-03-02,8.1,8.2,8.0,8.0,6458470.1,807040,27
VPEL.N0000,2016-03-03,8.0,8.0,7.9,8.0,10021146.8,1252661,55
VPEL.N0000,2016-03-07,8.0,8.0,7.7,7.8,1647368.6,208700,60
VPEL.N0000,2016-03-08,7.8,7.8,7.7,7.8,6571231.7,845584,63
VPEL.N0000,2016-03-09,7.7,8.1,7.7,8.0,10577456.8,1326662,37
VPEL.N0000,2016-03-10,8.2,8.2,8.0,8.1,555310.6,68358,24
VPEL.N0000,2016-03-13,8.1,8.1,8.0,8.1,196865.5,24495,16
VPEL.N0000,2016-03-14,8.0,8.1,8.0,8.1,6234880.0,779335,21
VPEL.N0000,2016-03-15,8.0,8.1,8.0,8.1,1179000.0,147200,18
VPEL.N0000,2016-03-16,8.1,8.2,8.0,8.0,3758064.0,469501,49
VPEL.N0000,2016-03-17,8.2,8.2,8.0,8.0,4877938.5,609647,42
VPEL.N0000,2016-03-20,8.1,8.3,8.1,8.3,696897.6,85982,12
VPEL.N0000,2016-03-22,8.3,8.3,8.0,8.0,117306.2,14527,16
VPEL.N0000,2016-03-23,8.1,8.2,8.1,8.1,131345.0,16150,17
VPEL.N0000,2016-03-27,8.1,8.1,8.0,8.0,11521978.0,1440176,57
VPEL.N0000,2016-03-28,8.0,8.2,8.0,8.0,2518537.0,314800,11
VPEL.N0000,2016-03-29,8.0,8.1,8.0,8.1,164298.7,20483,21
VPEL.N0000,2016-03-30,8.0,8.1,8.0,8.0,7747872.0,968359,31
VPEL.N0000,2016-03-31,8.1,8.2,8.1,8.1,91965.0,11350,8
VPEL.N0000,2016-04-03,8.0,8.1,8.0,8.0,259820.0,32350,27
VPEL.N0000,2016-04-04,8.1,8.2,8.1,8.2,854083.0,105430,10
VPEL.N0000,2016-04-05,8.2,8.3,8.1,8.2,2737696.5,333555,24
VPEL.N0000,2016-04-06,8.3,8.3,8.3,8.3,94620.0,11400,3
VPEL.N0000,2016-04-07,8.4,8.5,8.4,8.5,2607274.2,308848,36
VPEL.N0000,2016-04-10,8.4,8.5,8.3,8.5,1529021.7,180614,31
VPEL.N0000,2016-04-11,8.6,8.6,8.4,8.5,3318081.6,390244,40
VPEL.N0000,2016-04-14,8.7,8.7,8.5,8.5,1305088.5,153531,16
VPEL.N0000,2016-04-17,8.7,8.7,8.4,8.5,245457.3,28947,23
VPEL.N0000,2016-04-18,8.5,8.6,8.5,8.5,1221227.9,143673,40
VPEL.N0000,2016-04-19,8.6,8.6,8.4,8.5,2578492.9,303352,24
VPEL.N0000,2016-04-21,8.5,8.5,8.4,8.5,1119451.5,131703,23
VPEL.N0000,2016-04-24,8.5,8.5,8.4,8.4,123591.5,14705,9
VPEL.N0000,2016-04-25,8.4,8.5,8.4,8.4,64224.6,7644,25
VPEL.N0000,2016-04-26,8.5,8.6,8.4,8.5,2054028.1,240526,37
VPEL.N0000,2016-04-27,8.5,8.6,8.4,8.5,1150059.0,135298,33
VPEL.N0000,2016-04-28,8.5,8.6,8.5,8.6,3993388.6,465571,54
VPEL.N0000,2016-05-02,8.6,8.6,8.5,8.6,642916.4,74874,21
VPEL.N0000,2016-05-03,8.6,8.6,8.5,8.5,1913609.7,222747,41
VPEL.N0000,2016-05-04,8.5,8.6,8.5,8.6,981441.0,114285,11
VPEL.N0000,2016-05-05,8.7,8.7,8.5,8.7,879137.3,101773,29
VPEL.N0000,2016-05-08,8.7,8.7,8.6,8.6,1039156.0,120710,19
VPEL.N0000,2016-05-09,8.5,8.7,8.5,8.6,48480.0,5680,14
VPEL.N0000,2016-05-10,8.6,8.9,8.6,8.8,794457.6,91242,31
VPEL.N0000,2016-05-11,8.7,8.8,8.7,8.7,190630.0,21900,16
VPEL.N0000,2016-05-12,8.8,8.8,8.7,8.8,151572.4,17273,14
VPEL.N0000,2016-05-15,8.8,8.8,8.7,8.7,151748.0,17340,15
VPEL.N0000,2016-05-16,8.7,8.7,8.6,8.6,1523511.0,177145,18
VPEL.N0000,2016-05-17,8.7,8.7,8.6,8.6,111269.3,12822,8
VPEL.N0000,2016-05-18,8.6,8.8,8.6,8.7,143758.0,16410,14
VPEL.N0000,2016-05-19,8.7,8.8,8.7,8.7,19140.1,2200,6
VPEL.N0000,2016-05-23,8.7,8.7,8.5,8.6,1944591.4,227499,43
VPEL.N0000,2016-05-24,8.6,8.7,8.5,8.6,157811.9,18372,13
VPEL.N0000,2016-05-25,8.6,8.7,8.6,8.6,157029.0,18215,11
VPEL.N0000,2016-05-26,8.6,8.6,8.6,8.6,184203.4,21419,8
VPEL.N0000,2016-05-29,8.7,8.7,8.5,8.6,696181.2,80949,15
VPEL.N0000,2016-05-30,8.5,8.6,8.5,8.5,1533556.0,180336,19
VPEL.N0000,2016-05-31,8.6,8.6,8.5,8.6,211417.2,24702,7
VPEL.N0000,2016-06-01,8.6,8.6,8.5,8.6,226823.0,26376,11
VPEL.N0000,2016-06-02,8.6,8.6,8.5,8.6,298909.8,34818,11
VPEL.N0000,2016-06-05,8.6,8.6,8.5,8.6,395515.6,46096,23
VPEL.N0000,2016-06-06,8.6,8.6,8.5,8.6,893641.7,103913,24
VPEL.N0000,2016-06-07,8.6,8.7,8.5,8.6,4965086.3,577369,26
VPEL.N0000,2016-06-08,8.6,8.7,8.6,8.7,3530238.8,410374,20
VPEL.N0000,2016-06-09,8.6,8.7,8.6,8.6,379191.4,44092,13
VPEL.N0000,2016-06-12,8.6,8.7,8.6,8.6,58857.4,6809,6
VPEL.N0000,2016-06-13,8.6,8.7,8.6,8.6,914280.0,106300,11
VPEL.N0000,2016-06-14,8.7,8.7,8.6,8.7,97126.5,11165,8
VPEL.N0000,2016-06-15,8.6,8.6,8.5,8.5,5198374.8,610068,58
VPEL.N0000,2016-06-16,8.5,8.6,8.5,8.5,512625.7,59937,11
VPEL.N0000,2016-06-19,8.5,8.6,8.3,8.3,22342462.9,2682841,59
VPEL.N0000,2016-06-20,8.4,8.6,8.4,8.5,60908.5,7201,15
VPEL.N0000,2016-06-21,8.5,8.6,8.5,8.5,483308.5,56501,19
VPEL.N0000,2016-06-22,8.5,8.6,8.5,8.5,103828.6,12201,8
VPEL.N0000,2016-06-23,8.5,8.6,8.5,8.6,283906.8,33238,15
VPEL.N0000,2016-06-26,8.5,8.5,8.4,8.5,564779.5,66447,9
