ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
WAPO.N0000,2016-01-03,42.0,42.0,42.0,40.3,2142.0,51,2
WAPO.N0000,2016-01-04,40.2,40.5,39.5,39.7,471040.0,11900,6
WAPO.N0000,2016-01-05,40.5,40.5,40.5,39.7,283.5,7,1
WAPO.N0000,2016-01-06,39.1,39.9,38.4,38.4,356945.0,9230,21
WAPO.N0000,2016-01-07,38.3,38.3,38.0,38.0,146925.1,3860,10
WAPO.N0000,2016-01-10,37.9,37.9,34.5,37.9,47790.0,1300,5
WAPO.N0000,2016-01-11,38.3,38.3,35.1,35.3,35009.0,990,8
WAPO.N0000,2016-01-12,38.3,38.5,37.0,37.0,197924.0,5180,17
WAPO.N0000,2016-01-13,36.6,37.5,35.1,35.3,163932.0,4557,14
WAPO.N0000,2016-01-17,35.0,35.0,32.1,32.6,339819.0,10143,28
WAPO.N0000,2016-01-18,33.0,35.0,32.0,34.5,230438.2,7123,24
WAPO.N0000,2016-01-19,32.3,32.3,32.2,34.5,3188.8,99,2
WAPO.N0000,2016-01-20,36.0,36.9,36.0,36.1,470628.4,12857,30
WAPO.N0000,2016-01-21,37.0,37.0,35.2,35.9,44132.5,1214,6
WAPO.N0000,2016-01-24,35.0,35.1,35.0,35.0,52540.0,1500,7
WAPO.N0000,2016-01-25,34.9,35.0,34.9,35.0,32619.3,932,6
WAPO.N0000,2016-01-26,35.0,35.9,35.0,35.0,392398.5,11185,15
WAPO.N0000,2016-01-27,34.1,34.1,34.0,34.1,54511.0,1600,5
WAPO.N0000,2016-01-28,35.5,35.9,35.0,35.9,137300.5,3855,11
WAPO.N0000,2016-01-31,35.5,35.5,35.3,35.5,18456.0,520,2
WAPO.N0000,2016-02-01,34.6,37.8,34.6,37.4,97632.7,2688,14
WAPO.N0000,2016-02-02,35.3,37.0,35.3,36.0,21675.0,605,3
WAPO.N0000,2016-02-04,36.0,39.0,36.0,38.1,683104.4,17986,53
WAPO.N0000,2016-02-07,37.3,37.3,36.0,36.1,31410.4,855,10
WAPO.N0000,2016-02-08,36.1,36.1,35.0,35.0,135826.9,3864,15
WAPO.N0000,2016-02-09,35.5,36.0,35.5,36.0,117930.0,3290,12
WAPO.N0000,2016-02-10,34.9,36.0,34.8,35.0,38927.0,1112,12
WAPO.N0000,2016-02-11,35.4,35.4,35.0,35.0,57858.8,1652,9
WAPO.N0000,2016-02-14,35.9,36.0,34.6,34.9,151611.3,4278,12
WAPO.N0000,2016-02-15,35.0,35.0,34.5,34.5,204317.7,5883,14
WAPO.N0000,2016-02-16,33.5,35.0,31.4,34.5,40340.0,1225,6
WAPO.N0000,2016-02-17,32.7,33.5,32.7,32.7,22959.0,702,9
WAPO.N0000,2016-02-18,33.5,34.9,33.2,33.5,72462.0,2163,11
WAPO.N0000,2016-02-22,33.3,33.3,33.1,33.1,343879.0,10380,6
WAPO.N0000,2016-02-23,33.0,33.0,33.0,33.0,16500.0,500,1
WAPO.N0000,2016-02-24,33.0,33.2,31.0,31.3,184061.0,5878,21
WAPO.N0000,2016-02-25,31.5,31.5,31.1,31.1,100559.7,3227,11
WAPO.N0000,2016-02-28,33.2,33.2,30.0,30.0,41220.8,1348,16
WAPO.N0000,2016-02-29,30.0,30.1,29.0,29.0,138540.5,4735,21
WAPO.N0000,2016-03-01,28.9,29.0,26.9,26.9,1328494.0,49015,49
WAPO.N0000,2016-03-02,26.8,27.0,26.3,27.0,238125.9,8898,18
WAPO.N0000,2016-03-03,28.0,28.1,26.1,26.9,393139.4,14428,32
WAPO.N0000,2016-03-07,26.2,30.9,25.7,26.6,1058854.1,35931,27
WAPO.N0000,2016-03-08,28.8,28.9,25.0,25.1,602498.0,22090,16
WAPO.N0000,2016-03-09,26.2,29.5,26.2,28.6,798836.2,28096,39
WAPO.N0000,2016-03-10,29.5,30.0,29.0,29.9,1495934.9,50086,55
WAPO.N0000,2016-03-13,28.6,29.5,28.1,28.1,486798.4,17209,13
WAPO.N0000,2016-03-14,27.0,29.8,26.6,26.7,252272.4,9414,18
WAPO.N0000,2016-03-15,29.6,31.2,29.6,30.8,1740719.9,56977,98
WAPO.N0000,2016-03-16,31.0,32.6,30.3,30.6,1681587.2,53369,100
WAPO.N0000,2016-03-17,30.5,31.2,28.0,30.8,682921.4,22726,41
WAPO.N0000,2016-03-20,31.0,31.0,29.0,31.0,63062.0,2066,9
WAPO.N0000,2016-03-22,30.9,30.9,29.1,30.3,155996.1,5081,19
WAPO.N0000,2016-03-23,30.9,30.9,30.0,30.0,378792.8,12464,23
WAPO.N0000,2016-03-27,29.2,29.2,28.0,28.0,334937.5,11820,41
WAPO.N0000,2016-03-28,28.0,28.0,27.6,28.0,70467.6,2521,14
WAPO.N0000,2016-03-29,28.0,28.9,28.0,28.9,21726.2,758,7
