ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
WATA.N0000,2016-01-03,23.2,23.3,23.2,23.2,120720.0,5200,4
WATA.N0000,2016-01-04,23.2,24.6,22.9,22.9,258545.6,11243,22
WATA.N0000,2016-01-05,22.9,22.9,22.6,22.7,135886.3,5977,15
WATA.N0000,2016-01-06,22.6,22.6,22.6,22.7,135.6,6,2
WATA.N0000,2016-01-07,23.4,23.4,22.6,22.6,70497.5,3119,17
WATA.N0000,2016-01-10,22.5,22.5,21.0,21.4,394989.5,17975,29
WATA.N0000,2016-01-11,22.5,22.6,22.5,22.6,51451.6,2281,3
WATA.N0000,2016-01-12,21.0,23.0,21.0,22.6,1073.0,51,2
WATA.N0000,2016-01-13,20.0,21.0,20.0,20.5,126190.5,6300,9
WATA.N0000,2016-01-17,23.5,23.5,21.0,21.0,103464.5,4695,7
WATA.N0000,2016-01-18,20.5,20.5,20.0,20.0,24126.5,1202,9
WATA.N0000,2016-01-19,20.1,20.1,19.9,19.9,667311.0,33329,27
WATA.N0000,2016-01-20,19.9,19.9,19.9,19.9,119.4,6,1
WATA.N0000,2016-01-21,20.9,21.0,20.4,20.8,27182.8,1304,11
WATA.N0000,2016-01-24,21.3,21.3,20.4,20.5,102405.0,5000,6
WATA.N0000,2016-01-25,20.1,21.0,19.9,19.9,216162.0,10810,33
WATA.N0000,2016-01-26,20.0,20.0,19.9,19.9,85745.0,4300,7
WATA.N0000,2016-01-27,20.0,20.0,20.0,20.0,21400.0,1070,5
WATA.N0000,2016-01-28,19.9,20.0,19.9,20.0,12169.0,611,5
WATA.N0000,2016-02-01,20.4,20.4,19.5,20.0,797625.5,40010,13
WATA.N0000,2016-02-02,20.0,20.0,20.0,20.0,20420.0,1021,3
WATA.N0000,2016-02-04,20.0,20.5,20.0,20.4,524368.5,26091,11
WATA.N0000,2016-02-07,20.1,20.1,20.0,20.0,901805.0,45050,16
WATA.N0000,2016-02-08,19.9,20.0,19.9,19.9,44680.0,2241,3
WATA.N0000,2016-02-09,19.9,19.9,19.9,19.9,11940.0,600,1
WATA.N0000,2016-02-10,19.9,19.9,19.7,19.7,134390.0,6800,8
WATA.N0000,2016-02-11,19.8,20.0,19.7,19.7,57347.6,2911,8
WATA.N0000,2016-02-14,19.7,19.7,19.6,19.6,29440.6,1500,6
WATA.N0000,2016-02-15,19.6,19.6,19.5,19.5,7927.6,406,3
WATA.N0000,2016-02-16,19.5,19.5,19.5,19.5,26325.0,1350,2
WATA.N0000,2016-02-17,19.5,19.6,19.5,19.6,153042.8,7813,4
WATA.N0000,2016-02-18,19.5,19.5,18.2,18.2,323556.4,17562,16
WATA.N0000,2016-02-22,18.1,20.0,18.1,20.0,30960.0,1700,4
WATA.N0000,2016-02-23,19.0,19.0,18.6,18.6,134856.0,7110,7
WATA.N0000,2016-02-24,18.6,20.4,18.6,20.0,33400.0,1701,11
WATA.N0000,2016-02-25,18.8,19.7,17.8,18.0,92970.2,5172,19
WATA.N0000,2016-02-28,19.0,19.0,18.8,18.8,1899.0,101,2
WATA.N0000,2016-02-29,18.5,19.5,18.0,19.5,491301.4,26179,20
WATA.N0000,2016-03-02,18.6,19.1,18.0,18.3,609710.1,33485,17
