ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
WIND.N0000,2021-04-21,17.9,19.0,17.7,18.5,869590942.8,47570928,3174
WIND.N0000,2021-04-22,18.3,18.4,17.9,18.0,112542982.2,6245196,742
WIND.N0000,2021-04-26,18.0,18.0,17.5,17.8,11430420.5,642914,432
WIND.N0000,2021-04-27,17.8,18.0,17.8,17.9,36408991.2,2034919,194
WIND.N0000,2021-04-28,18.0,18.2,17.8,18.1,35325981.6,1960912,179
WIND.N0000,2021-04-29,18.1,18.2,18.1,18.2,2080305.9,114438,56
WIND.N0000,2021-05-02,18.2,18.3,17.9,18.0,13173263.9,730902,128
WIND.N0000,2021-05-03,18.1,18.2,18.0,18.0,10167430.5,563917,88
WIND.N0000,2021-05-04,18.1,18.2,18.0,18.1,4554672.4,251611,111
WIND.N0000,2021-05-05,18.2,18.2,18.0,18.1,9902339.3,546639,87
WIND.N0000,2021-05-06,18.1,18.3,18.0,18.2,51913203.0,2857882,106
WIND.N0000,2021-05-09,18.3,18.3,18.0,18.1,9435601.6,521914,70
WIND.N0000,2021-05-10,18.1,18.3,18.1,18.2,16339790.9,901179,94
WIND.N0000,2021-05-11,18.3,19.1,18.2,18.8,49525722.6,2644417,549
WIND.N0000,2021-05-12,18.7,19.1,18.7,19.0,26178784.4,1378337,246
WIND.N0000,2021-05-16,19.1,19.8,19.1,19.5,41420367.2,2125316,321
WIND.N0000,2021-05-17,19.5,19.6,19.1,19.3,7086089.2,366324,128
WIND.N0000,2021-05-18,19.1,19.6,19.0,19.2,3639713.3,188529,118
WIND.N0000,2021-05-19,19.1,19.3,18.9,19.0,8018918.9,421530,107
WIND.N0000,2021-05-20,19.0,19.2,18.5,19.1,23962554.6,1267070,168
WIND.N0000,2021-05-23,19.2,19.2,18.8,18.9,5617204.1,296764,96
WIND.N0000,2021-05-24,18.9,19.2,18.9,18.9,1149891.8,60495,45
WIND.N0000,2021-05-27,18.9,19.1,18.9,19.0,26729763.0,1406574,106
WIND.N0000,2021-05-30,19.1,19.1,19.0,19.0,11861782.9,624118,86
WIND.N0000,2021-05-31,18.9,19.0,18.5,18.9,27005805.8,1433042,200
WIND.N0000,2021-06-02,18.9,18.9,18.6,18.8,6605107.0,352241,131
WIND.N0000,2021-06-02,19.0,19.0,18.9,19.0,2416297.1,127370,43
WIND.N0000,2021-06-03,19.5,19.7,18.8,19.3,25428366.7,1326121,336
WIND.N0000,2021-06-06,19.5,19.5,19.1,19.3,7530216.0,389142,150
WIND.N0000,2021-06-07,19.3,19.4,19.2,19.4,5754248.0,298480,104
WIND.N0000,2021-06-08,19.4,19.6,19.3,19.5,12552085.8,646702,110
WIND.N0000,2021-06-09,19.6,19.6,19.4,19.5,8922660.6,457538,133
WIND.N0000,2021-06-10,19.5,19.6,19.4,19.6,6752412.0,346120,90
WIND.N0000,2021-06-13,19.2,19.2,18.9,18.9,12077176.1,637694,245
WIND.N0000,2021-06-14,19.0,19.3,18.9,19.0,68240510.2,3590436,143
WIND.N0000,2021-06-15,19.1,19.1,18.9,19.0,18804466.6,988361,187
WIND.N0000,2021-06-16,19.0,19.2,18.6,18.8,1941234780.3,106560593,641
WIND.N0000,2021-06-17,19.0,19.0,18.7,18.9,123770603.1,6587983,609
WIND.N0000,2021-06-20,19.0,19.0,18.8,18.9,24072028.1,1269126,235
WIND.N0000,2021-06-21,18.9,19.1,18.8,18.9,13832610.5,729345,165
WIND.N0000,2021-06-22,19.1,19.1,18.8,18.9,18930129.1,1002121,233
WIND.N0000,2021-06-24,18.9,19.0,18.8,18.9,3876979.3,205088,108
WIND.N0000,2021-06-27,19.0,19.0,18.9,18.9,2839545.8,149963,93
WIND.N0000,2021-06-28,18.9,19.0,18.8,18.8,13078759.0,693832,200
WIND.N0000,2021-06-29,18.8,18.8,18.6,18.7,6906239.1,369299,185
WIND.N0000,2021-06-30,18.8,18.8,18.5,18.5,30896518.7,1668373,240
