ticker,relative_path,rows,start_date,end_date,include
UBC.N0000,has_data/UBC.N0000.json,2366,2016-01-03,2025-12-30,yes
PLC.N0000,has_data/PLC.N0000.json,2364,2016-01-03,2025-12-30,yes
TJL.N0000,has_data/TJL.N0000.json,2364,2016-01-03,2025-12-30,yes
VPEL.N0000,has_data/VPEL.N0000.json,2364,2016-01-03,2025-12-30,yes
COMB.N0000,has_data/COMB.N0000.json,2363,2016-01-03,2025-12-30,yes
DIAL.N0000,has_data/DIAL.N0000.json,2363,2016-01-03,2025-12-30,yes
LIOC.N0000,has_data/LIOC.N0000.json,2363,2016-01-03,2025-12-30,yes
RICH.N0000,has_data/RICH.N0000.json,2363,2016-01-03,2025-12-30,yes
VONE.N0000,has_data/VONE.N0000.json,2363,2016-01-03,2025-12-30,yes
AEL.N0000,has_data/AEL.N0000.json,2362,2016-01-03,2025-12-30,yes
GRAN.N0000,has_data/GRAN.N0000.json,2362,2016-01-03,2025-12-30,yes
NDB.N0000,has_data/NDB.N0000.json,2362,2016-01-03,2025-12-30,yes
TKYO.N0000,has_data/TKYO.N0000.json,2362,2016-01-03,2025-12-30,yes
GLAS.N0000,has_data/GLAS.N0000.json,2361,2016-01-03,2025-12-30,yes
LLUB.N0000,has_data/LLUB.N0000.json,2361,2016-01-03,2025-12-30,yes
SAMP.N0000,has_data/SAMP.N0000.json,2361,2016-01-03,2025-12-30,yes
SIRA.N0000,has_data/SIRA.N0000.json,2360,2016-01-03,2025-12-30,yes
DFCC.N0000,has_data/DFCC.N0000.json,2359,2016-01-03,2025-12-30,yes
MGT.N0000,has_data/MGT.N0000.json,2359,2016-01-03,2025-12-30,yes
BIL.N0000,has_data/BIL.N0000.json,2358,2016-01-03,2025-12-30,yes
TKYO.X0000,has_data/TKYO.X0000.json,2355,2016-01-03,2025-12-30,yes
COMB.X0000,has_data/COMB.X0000.json,2354,2016-01-03,2025-12-30,yes
SPEN.N0000,has_data/SPEN.N0000.json,2354,2016-01-03,2025-12-30,yes
SEYB.X0000,has_data/SEYB.X0000.json,2353,2016-01-03,2025-12-30,yes
OSEA.N0000,has_data/OSEA.N0000.json,2352,2016-01-03,2025-12-30,yes
CFVF.N0000,has_data/CFVF.N0000.json,2351,2016-01-03,2025-12-30,yes
HNB.N0000,has_data/HNB.N0000.json,2351,2016-01-03,2025-12-30,yes
JINS.N0000,has_data/JINS.N0000.json,2351,2016-01-03,2026-01-15,yes
PAP.N0000,has_data/PAP.N0000.json,2350,2016-01-03,2025-12-30,yes
PABC.N0000,has_data/PABC.N0000.json,2349,2016-01-03,2025-12-30,yes
DPL.N0000,has_data/DPL.N0000.json,2348,2016-01-03,2025-12-30,yes
GHLL.N0000,has_data/GHLL.N0000.json,2347,2016-01-03,2025-12-30,yes
HNB.X0000,has_data/HNB.X0000.json,2347,2016-01-03,2025-12-30,yes
RAL.N0000,has_data/RAL.N0000.json,2347,2016-01-03,2025-12-30,yes
ALUM.N0000,has_data/ALUM.N0000.json,2346,2016-01-03,2025-12-30,yes
SEMB.N0000,has_data/SEMB.N0000.json,2345,2016-01-03,2025-12-30,yes
SLTL.N0000,has_data/SLTL.N0000.json,2345,2016-01-04,2025-12-30,yes
