date,usd_lkr_spot,source
2016-01-01,143.9,investing.com_daily_csv
2016-01-04,144.285,investing.com_daily_csv
2016-01-05,144.005,investing.com_daily_csv
2016-01-06,144.05,investing.com_daily_csv
2016-01-07,144.005,investing.com_daily_csv
2016-01-08,143.72,investing.com_daily_csv
2016-01-11,143.94,investing.com_daily_csv
2016-01-12,143.945,investing.com_daily_csv
2016-01-13,144.01,investing.com_daily_csv
2016-01-14,143.815,investing.com_daily_csv
2016-01-15,143.945,investing.com_daily_csv
2016-01-18,144.075,investing.com_daily_csv
2016-01-19,144.115,investing.com_daily_csv
2016-01-20,144.09,investing.com_daily_csv
2016-01-21,144.025,investing.com_daily_csv
2016-01-22,144.065,investing.com_daily_csv
2016-01-25,144.17,investing.com_daily_csv
2016-01-26,144.27,investing.com_daily_csv
2016-01-27,144.11,investing.com_daily_csv
2016-01-28,143.995,investing.com_daily_csv
2016-01-29,144.26,investing.com_daily_csv
2016-02-01,143.88,investing.com_daily_csv
2016-02-02,144.085,investing.com_daily_csv
2016-02-03,144.25,investing.com_daily_csv
2016-02-04,144.02,investing.com_daily_csv
2016-02-05,144.09,investing.com_daily_csv
2016-02-08,144.08,investing.com_daily_csv
2016-02-09,143.945,investing.com_daily_csv
2016-02-10,143.92,investing.com_daily_csv
2016-02-11,143.985,investing.com_daily_csv
2016-02-12,144.25,investing.com_daily_csv
2016-02-15,144.13,investing.com_daily_csv
2016-02-16,144.055,investing.com_daily_csv
2016-02-17,143.98,investing.com_daily_csv
2016-02-18,144.07,investing.com_daily_csv
2016-02-19,144.025,investing.com_daily_csv
2016-02-22,144.005,investing.com_daily_csv
2016-02-23,144.005,investing.com_daily_csv
2016-02-24,144.215,investing.com_daily_csv
2016-02-25,144.46,investing.com_daily_csv
2016-02-26,144.65,investing.com_daily_csv
2016-02-29,144.875,investing.com_daily_csv
2016-03-01,144.55,investing.com_daily_csv
2016-03-02,144.6,investing.com_daily_csv
2016-03-03,144.675,investing.com_daily_csv
2016-03-04,145.06,investing.com_daily_csv
2016-03-07,145.06,investing.com_daily_csv
2016-03-08,145.11,investing.com_daily_csv
2016-03-09,144.575,investing.com_daily_csv
2016-03-10,145.085,investing.com_daily_csv
2016-03-11,144.92,investing.com_daily_csv
2016-03-14,145.02,investing.com_daily_csv
2016-03-15,145.0,investing.com_daily_csv
2016-03-16,145.05,investing.com_daily_csv
2016-03-17,145.035,investing.com_daily_csv
2016-03-18,144.97,investing.com_daily_csv
2016-03-21,145.48,investing.com_daily_csv
2016-03-22,145.37,investing.com_daily_csv
2016-03-23,146.38,investing.com_daily_csv
2016-03-24,147.26,investing.com_daily_csv
2016-03-25,147.26,investing.com_daily_csv
2016-03-28,147.95,investing.com_daily_csv
2016-03-29,148.21,investing.com_daily_csv
2016-03-30,149.215,investing.com_daily_csv
2016-03-31,146.055,investing.com_daily_csv
2016-04-01,146.185,investing.com_daily_csv
2016-04-04,145.13,investing.com_daily_csv
2016-04-05,144.635,investing.com_daily_csv
2016-04-06,144.75,investing.com_daily_csv
2016-04-07,144.7,investing.com_daily_csv
2016-04-08,144.75,investing.com_daily_csv
2016-04-11,144.9,investing.com_daily_csv
2016-04-12,146.19,investing.com_daily_csv
2016-04-13,146.19,investing.com_daily_csv
2016-04-14,146.045,investing.com_daily_csv
2016-04-15,145.43,investing.com_daily_csv
2016-04-18,146.045,investing.com_daily_csv
2016-04-19,146.045,investing.com_daily_csv
2016-04-20,146.48,investing.com_daily_csv
2016-04-21,146.48,investing.com_daily_csv
2016-04-22,146.045,investing.com_daily_csv
2016-04-25,146.21,investing.com_daily_csv
2016-04-26,146.33,investing.com_daily_csv
2016-04-27,146.27,investing.com_daily_csv
2016-04-28,146.38,investing.com_daily_csv
2016-04-29,146.18,investing.com_daily_csv
2016-05-02,146.325,investing.com_daily_csv
2016-05-03,146.18,investing.com_daily_csv
2016-05-04,146.25,investing.com_daily_csv
2016-05-05,146.24,investing.com_daily_csv
2016-05-06,146.26,investing.com_daily_csv
2016-05-09,146.43,investing.com_daily_csv
2016-05-10,146.19,investing.com_daily_csv
2016-05-11,146.195,investing.com_daily_csv
2016-05-12,146.25,investing.com_daily_csv
2016-05-13,146.4,investing.com_daily_csv
2016-05-16,146.65,investing.com_daily_csv
2016-05-17,146.48,investing.com_daily_csv
2016-05-18,147.035,investing.com_daily_csv
2016-05-19,146.845,investing.com_daily_csv
2016-05-20,147.105,investing.com_daily_csv
2016-05-23,147.07,investing.com_daily_csv
2016-05-24,146.78,investing.com_daily_csv
2016-05-25,146.95,investing.com_daily_csv
2016-05-26,146.78,investing.com_daily_csv
2016-05-27,147.63,investing.com_daily_csv
2016-05-30,148.0,investing.com_daily_csv
2016-05-31,147.79,investing.com_daily_csv
2016-06-01,148.13,investing.com_daily_csv
2016-06-02,147.82,investing.com_daily_csv
2016-06-03,147.68,investing.com_daily_csv
2016-06-06,145.885,investing.com_daily_csv
2016-06-07,145.77,investing.com_daily_csv
2016-06-08,145.84,investing.com_daily_csv
2016-06-09,145.585,investing.com_daily_csv
2016-06-10,145.0,investing.com_daily_csv
2016-06-13,144.745,investing.com_daily_csv
2016-06-14,144.87,investing.com_daily_csv
2016-06-15,144.995,investing.com_daily_csv
2016-06-16,145.115,investing.com_daily_csv
2016-06-17,144.74,investing.com_daily_csv
2016-06-20,144.74,investing.com_daily_csv
2016-06-21,146.08,investing.com_daily_csv
2016-06-22,147.185,investing.com_daily_csv
2016-06-23,147.03,investing.com_daily_csv
2016-06-24,147.33,investing.com_daily_csv
2016-06-27,146.82,investing.com_daily_csv
2016-06-28,147.835,investing.com_daily_csv
2016-06-29,146.04,investing.com_daily_csv
2016-06-30,145.695,investing.com_daily_csv
2016-07-01,145.695,investing.com_daily_csv
2016-07-04,146.5,investing.com_daily_csv
2016-07-05,146.7,investing.com_daily_csv
2016-07-06,146.39,investing.com_daily_csv
2016-07-07,145.555,investing.com_daily_csv
2016-07-08,144.93,investing.com_daily_csv
2016-07-11,145.54,investing.com_daily_csv
2016-07-12,146.21,investing.com_daily_csv
2016-07-13,145.765,investing.com_daily_csv
2016-07-14,145.57,investing.com_daily_csv
2016-07-15,145.78,investing.com_daily_csv
2016-07-18,145.435,investing.com_daily_csv
2016-07-19,145.435,investing.com_daily_csv
2016-07-20,146.26,investing.com_daily_csv
2016-07-21,145.745,investing.com_daily_csv
2016-07-22,145.78,investing.com_daily_csv
2016-07-25,145.71,investing.com_daily_csv
2016-07-26,145.505,investing.com_daily_csv
2016-07-27,145.9,investing.com_daily_csv
2016-07-28,145.505,investing.com_daily_csv
2016-07-29,145.505,investing.com_daily_csv
2016-08-01,145.76,investing.com_daily_csv
2016-08-02,145.77,investing.com_daily_csv
2016-08-03,145.355,investing.com_daily_csv
2016-08-04,145.75,investing.com_daily_csv
2016-08-05,145.7,investing.com_daily_csv
2016-08-08,145.285,investing.com_daily_csv
2016-08-09,145.31,investing.com_daily_csv
2016-08-10,145.18,investing.com_daily_csv
2016-08-11,144.985,investing.com_daily_csv
2016-08-12,145.35,investing.com_daily_csv
2016-08-15,145.165,investing.com_daily_csv
2016-08-16,144.97,investing.com_daily_csv
2016-08-17,145.285,investing.com_daily_csv
2016-08-18,145.215,investing.com_daily_csv
